,day_of_week,NEIGHBORHOOD_ID,TIME
11715,Saturday,lincoln-park,23:59:00
81470,Monday,ruby-hill,04:00:00
5096,Friday,westwood,23:59:00
15028,Friday,globeville,23:59:00
34748,Wednesday,city-park-west,20:00:00
78003,Wednesday,civic-center,08:00:00
82338,Monday,lowry-field,16:00:00
58431,Friday,cbd,23:59:00
36011,Saturday,university-park,20:00:00
11852,Wednesday,berkeley,04:00:00
23679,Sunday,cbd,16:00:00
62206,Wednesday,virginia-village,16:00:00
27516,Tuesday,gateway-green-valley-ranch,16:00:00
6281,Tuesday,capitol-hill,16:00:00
51636,Friday,marston,20:00:00
30536,Sunday,valverde,04:00:00
83945,Friday,capitol-hill,08:00:00
36377,Thursday,west-colfax,04:00:00
71409,Saturday,lincoln-park,12:00:00
12563,Monday,montbello,04:00:00
57798,Friday,marston,20:00:00
3475,Friday,cole,23:59:00
78111,Friday,five-points,16:00:00
86302,Friday,dia,08:00:00
80900,Thursday,westwood,12:00:00
73202,Sunday,highland,16:00:00
65214,Saturday,college-view-south-platte,12:00:00
54531,Friday,congress-park,16:00:00
76840,Sunday,university,12:00:00
16813,Wednesday,skyland,20:00:00
76683,Sunday,villa-park,12:00:00
8595,Saturday,north-capitol-hill,20:00:00
59033,Wednesday,globeville,16:00:00
49405,Friday,bear-valley,20:00:00
32920,Thursday,montbello,16:00:00
779,Wednesday,gateway-green-valley-ranch,04:00:00
25369,Saturday,lincoln-park,16:00:00
92997,Wednesday,platt-park,12:00:00
25806,Tuesday,northeast-park-hill,23:59:00
86877,Sunday,civic-center,08:00:00
45082,Tuesday,baker,23:59:00
53493,Sunday,jefferson-park,16:00:00
70382,Thursday,cbd,08:00:00
67344,Sunday,goldsmith,12:00:00
61627,Monday,university-park,04:00:00
53333,Monday,highland,23:59:00
17297,Saturday,sunnyside,20:00:00
64872,Wednesday,villa-park,16:00:00
58938,Monday,city-park-west,16:00:00
79363,Thursday,virginia-village,12:00:00
67956,Monday,sunnyside,04:00:00
78054,Friday,lowry-field,08:00:00
18744,Friday,cherry-creek,04:00:00
20354,Friday,clayton,23:59:00
88871,Wednesday,whittier,12:00:00
88424,Thursday,lincoln-park,04:00:00
59584,Monday,east-colfax,16:00:00
76426,Sunday,montclair,12:00:00
50624,Tuesday,east-colfax,16:00:00
38363,Monday,five-points,16:00:00
84336,Thursday,sun-valley,12:00:00
7782,Friday,athmar-park,16:00:00
39446,Saturday,chaffee-park,20:00:00
50416,Monday,city-park-west,20:00:00
51381,Saturday,east-colfax,20:00:00
84653,Sunday,union-station,08:00:00
35466,Friday,westwood,23:59:00
62438,Friday,civic-center,12:00:00
68047,Wednesday,cole,16:00:00
69527,Monday,stapleton,08:00:00
91134,Monday,whittier,04:00:00
64574,Saturday,montbello,04:00:00
72521,Sunday,barnum-west,04:00:00
9369,Wednesday,university-hills,20:00:00
23768,Thursday,lincoln-park,23:59:00
12441,Monday,capitol-hill,20:00:00
41715,Wednesday,union-station,23:59:00
40103,Monday,capitol-hill,20:00:00
58520,Monday,five-points,20:00:00
13504,Sunday,sunnyside,04:00:00
14628,Thursday,west-colfax,16:00:00
91024,Saturday,auraria,04:00:00
80183,Tuesday,west-highland,12:00:00
3850,Thursday,cbd,04:00:00
82552,Sunday,hale,12:00:00
25193,Friday,five-points,20:00:00
545,Friday,auraria,04:00:00
73990,Saturday,lincoln-park,12:00:00
42110,Monday,mar-lee,20:00:00
77023,Sunday,west-colfax,12:00:00
27960,Friday,civic-center,23:59:00
7955,Thursday,five-points,23:59:00
42190,Wednesday,harvey-park,23:59:00
81381,Monday,bear-valley,12:00:00
8928,Sunday,overland,23:59:00
46498,Wednesday,montbello,23:59:00
93888,Thursday,west-colfax,16:00:00
80865,Monday,athmar-park,16:00:00
11313,Thursday,cbd,20:00:00
79371,Wednesday,whittier,16:00:00
21390,Wednesday,west-colfax,04:00:00
2653,Thursday,east-colfax,16:00:00
2320,Wednesday,villa-park,16:00:00
63806,Friday,fort-logan,12:00:00
3897,Thursday,five-points,16:00:00
20416,Monday,ruby-hill,23:59:00
60315,Friday,highland,20:00:00
73311,Wednesday,five-points,16:00:00
84852,Friday,civic-center,12:00:00
16561,Tuesday,north-capitol-hill,16:00:00
66537,Sunday,east-colfax,04:00:00
54705,Thursday,northeast-park-hill,20:00:00
552,Friday,cheesman-park,20:00:00
48682,Saturday,northeast-park-hill,20:00:00
10625,Tuesday,baker,16:00:00
53908,Sunday,valverde,20:00:00
89401,Friday,north-capitol-hill,12:00:00
7236,Friday,villa-park,20:00:00
80339,Tuesday,civic-center,08:00:00
32750,Saturday,auraria,20:00:00
89188,Saturday,west-colfax,12:00:00
6732,Wednesday,barnum,20:00:00
78513,Sunday,union-station,04:00:00
274,Saturday,capitol-hill,20:00:00
58274,Friday,stapleton,23:59:00
15729,Sunday,northeast-park-hill,23:59:00
25681,Thursday,stapleton,23:59:00
52354,Thursday,ruby-hill,16:00:00
60075,Thursday,harvey-park,20:00:00
70822,Thursday,civic-center,16:00:00
33074,Saturday,civic-center,16:00:00
29810,Tuesday,harvey-park,23:59:00
76756,Friday,montbello,16:00:00
10915,Wednesday,cheesman-park,23:59:00
52165,Saturday,harvey-park,20:00:00
27120,Saturday,cheesman-park,23:59:00
66630,Monday,villa-park,04:00:00
2756,Sunday,globeville,23:59:00
20699,Sunday,cbd,23:59:00
30083,Sunday,cherry-creek,16:00:00
48552,Wednesday,speer,23:59:00
67703,Tuesday,gateway-green-valley-ranch,04:00:00
29549,Saturday,sunnyside,20:00:00
40039,Friday,five-points,23:59:00
62541,Wednesday,union-station,04:00:00
53868,Friday,rosedale,20:00:00
79799,Saturday,east-colfax,04:00:00
45949,Wednesday,civic-center,23:59:00
17857,Wednesday,five-points,20:00:00
18681,Saturday,cbd,20:00:00
2489,Friday,sun-valley,16:00:00
30626,Thursday,cole,20:00:00
50258,Tuesday,cbd,16:00:00
63928,Friday,college-view-south-platte,12:00:00
58203,Friday,berkeley,23:59:00
14821,Sunday,westwood,23:59:00
52464,Saturday,stapleton,16:00:00
20447,Monday,barnum,04:00:00
54346,Wednesday,indian-creek,16:00:00
36796,Wednesday,west-colfax,16:00:00
57581,Monday,montbello,23:59:00
35833,Monday,berkeley,23:59:00
26796,Saturday,whittier,23:59:00
38235,Thursday,villa-park,23:59:00
3114,Wednesday,whittier,16:00:00
13847,Friday,lincoln-park,23:59:00
44798,Tuesday,chaffee-park,04:00:00
52772,Wednesday,whittier,23:59:00
46487,Sunday,barnum,20:00:00
92690,Thursday,lincoln-park,08:00:00
42983,Sunday,mar-lee,16:00:00
82505,Tuesday,highland,08:00:00
47227,Friday,highland,16:00:00
56657,Wednesday,cbd,23:59:00
88840,Sunday,congress-park,16:00:00
3227,Friday,highland,23:59:00
26623,Tuesday,five-points,23:59:00
5740,Tuesday,ruby-hill,20:00:00
59644,Thursday,villa-park,23:59:00
33915,Monday,platt-park,23:59:00
32809,Thursday,mar-lee,04:00:00
87740,Thursday,cbd,12:00:00
3800,Thursday,westwood,23:59:00
12549,Wednesday,harvey-park,16:00:00
39584,Saturday,lincoln-park,20:00:00
58810,Wednesday,sunnyside,23:59:00
49416,Friday,north-capitol-hill,23:59:00
9977,Tuesday,montbello,16:00:00
85210,Saturday,mar-lee,12:00:00
91702,Tuesday,university-park,12:00:00
31308,Saturday,baker,23:59:00
80157,Monday,five-points,04:00:00
57106,Saturday,hampden,23:59:00
94682,Saturday,civic-center,12:00:00
66025,Friday,lowry-field,08:00:00
47423,Monday,five-points,20:00:00
26181,Saturday,montbello,20:00:00
66511,Wednesday,five-points,04:00:00
8471,Friday,baker,20:00:00
77956,Friday,five-points,08:00:00
85323,Sunday,cbd,12:00:00
26991,Tuesday,barnum-west,20:00:00
67237,Tuesday,athmar-park,04:00:00
38862,Friday,union-station,23:59:00
45788,Monday,montbello,23:59:00
72690,Friday,civic-center,12:00:00
24782,Saturday,east-colfax,23:59:00
33670,Monday,regis,16:00:00
2880,Friday,university-hills,20:00:00
31759,Saturday,westwood,23:59:00
69493,Tuesday,cbd,04:00:00
34991,Wednesday,mar-lee,20:00:00
74637,Sunday,stapleton,08:00:00
10854,Wednesday,washington-park,23:59:00
88955,Thursday,lincoln-park,12:00:00
34001,Sunday,east-colfax,23:59:00
22264,Thursday,harvey-park-south,20:00:00
85347,Saturday,elyria-swansea,04:00:00
27204,Friday,capitol-hill,16:00:00
27933,Friday,capitol-hill,23:59:00
23463,Tuesday,north-park-hill,04:00:00
55508,Monday,civic-center,23:59:00
6384,Tuesday,elyria-swansea,16:00:00
16109,Monday,civic-center,04:00:00
6230,Wednesday,westwood,23:59:00
35136,Sunday,five-points,20:00:00
72296,Monday,east-colfax,04:00:00
15714,Tuesday,west-highland,04:00:00
50728,Sunday,stapleton,23:59:00
26370,Thursday,west-colfax,23:59:00
40601,Saturday,mar-lee,20:00:00
48860,Monday,westwood,16:00:00
22320,Saturday,cole,23:59:00
38168,Monday,cole,16:00:00
55235,Thursday,belcaro,04:00:00
68557,Tuesday,cbd,08:00:00
88220,Thursday,chaffee-park,12:00:00
54181,Tuesday,montbello,20:00:00
72847,Wednesday,montbello,12:00:00
44067,Wednesday,baker,16:00:00
4727,Sunday,capitol-hill,23:59:00
81855,Friday,stapleton,16:00:00
30765,Tuesday,west-colfax,16:00:00
71431,Tuesday,capitol-hill,08:00:00
21751,Tuesday,elyria-swansea,23:59:00
56256,Thursday,sunnyside,23:59:00
50706,Saturday,elyria-swansea,20:00:00
88223,Wednesday,northeast-park-hill,12:00:00
53657,Wednesday,rosedale,16:00:00
59595,Saturday,villa-park,23:59:00
90292,Tuesday,harvey-park,12:00:00
41287,Saturday,westwood,16:00:00
63099,Tuesday,east-colfax,16:00:00
78294,Wednesday,rosedale,12:00:00
55098,Tuesday,college-view-south-platte,04:00:00
78320,Sunday,athmar-park,04:00:00
85199,Wednesday,berkeley,12:00:00
60136,Sunday,stapleton,20:00:00
77210,Saturday,capitol-hill,16:00:00
61005,Sunday,barnum,16:00:00
53643,Friday,cbd,23:59:00
83589,Monday,overland,12:00:00
69595,Monday,city-park-west,04:00:00
14369,Monday,athmar-park,23:59:00
68794,Friday,stapleton,12:00:00
36738,Monday,barnum,23:59:00
74344,Monday,dia,16:00:00
85381,Sunday,union-station,12:00:00
74495,Thursday,mar-lee,12:00:00
87191,Friday,cbd,12:00:00
85349,Saturday,globeville,12:00:00
23883,Thursday,montbello,23:59:00
64460,Thursday,country-club,04:00:00
64749,Friday,regis,04:00:00
64771,Wednesday,valverde,12:00:00
59206,Monday,east-colfax,16:00:00
62605,Sunday,civic-center,08:00:00
28866,Tuesday,globeville,23:59:00
93234,Thursday,lincoln-park,08:00:00
75898,Tuesday,university-hills,04:00:00
69685,Wednesday,westwood,08:00:00
16736,Saturday,cole,20:00:00
33912,Saturday,montbello,23:59:00
13384,Monday,five-points,23:59:00
29873,Wednesday,west-colfax,23:59:00
38186,Friday,montbello,16:00:00
27479,Saturday,east-colfax,20:00:00
46295,Sunday,cbd,23:59:00
86721,Friday,speer,04:00:00
6434,Tuesday,northeast-park-hill,20:00:00
58126,Sunday,ruby-hill,20:00:00
8418,Friday,westwood,20:00:00
18242,Saturday,congress-park,23:59:00
11732,Saturday,lincoln-park,23:59:00
8976,Sunday,sunnyside,16:00:00
12184,Saturday,north-park-hill,23:59:00
35102,Wednesday,university,20:00:00
42458,Wednesday,mar-lee,20:00:00
31878,Saturday,barnum,16:00:00
361,Thursday,stapleton,20:00:00
89176,Wednesday,montbello,08:00:00
25066,Monday,montbello,20:00:00
44170,Sunday,west-colfax,23:59:00
61852,Thursday,baker,12:00:00
26686,Saturday,marston,20:00:00
33146,Friday,northeast-park-hill,20:00:00
15886,Tuesday,five-points,16:00:00
68844,Monday,civic-center,08:00:00
41128,Friday,gateway-green-valley-ranch,20:00:00
41555,Thursday,bear-valley,16:00:00
81090,Thursday,ruby-hill,08:00:00
64470,Saturday,westwood,08:00:00
93339,Friday,villa-park,08:00:00
9080,Monday,baker,23:59:00
90813,Friday,athmar-park,04:00:00
37847,Thursday,west-colfax,16:00:00
73897,Saturday,college-view-south-platte,12:00:00
48434,Saturday,union-station,23:59:00
37395,Wednesday,westwood,23:59:00
60328,Wednesday,westwood,20:00:00
12491,Wednesday,university,20:00:00
4040,Sunday,montbello,20:00:00
6957,Thursday,barnum-west,16:00:00
54970,Monday,five-points,23:59:00
55845,Saturday,civic-center,23:59:00
19409,Thursday,highland,04:00:00
29513,Friday,globeville,23:59:00
53706,Friday,cbd,23:59:00
175,Monday,east-colfax,20:00:00
65605,Monday,cbd,12:00:00
19928,Thursday,civic-center,23:59:00
12373,Monday,whittier,16:00:00
71183,Saturday,westwood,16:00:00
64961,Tuesday,west-colfax,04:00:00
91010,Monday,hampden-south,04:00:00
58171,Thursday,harvey-park-south,23:59:00
