,day_of_week,NEIGHBORHOOD_ID,TIME
499235,Friday,northeast-park-hill,20:00:00
291649,Tuesday,cheesman-park,20:00:00
434483,Monday,harvey-park-south,23:59:00
55311,Saturday,gateway-green-valley-ranch,04:00:00
503831,Sunday,southmoor-park,20:00:00
336393,Tuesday,westwood,16:00:00
506994,Wednesday,stapleton,20:00:00
458572,Thursday,gateway-green-valley-ranch,20:00:00
59412,Tuesday,ruby-hill,12:00:00
422273,Sunday,montbello,23:59:00
216577,Wednesday,hale,16:00:00
165502,Wednesday,east-colfax,12:00:00
347529,Friday,northeast-park-hill,20:00:00
8405,Friday,overland,16:00:00
465945,Tuesday,skyland,20:00:00
92068,Wednesday,barnum,12:00:00
302704,Sunday,cbd,16:00:00
451274,Tuesday,elyria-swansea,16:00:00
235074,Monday,sun-valley,20:00:00
512091,Monday,montclair,20:00:00
56113,Wednesday,villa-park,12:00:00
500112,Thursday,hampden,20:00:00
195299,Monday,cory-merrill,20:00:00
378712,Friday,five-points,04:00:00
457879,Friday,civic-center,16:00:00
217203,Thursday,cbd,23:59:00
341475,Friday,speer,20:00:00
4383,Tuesday,gateway-green-valley-ranch,16:00:00
290449,Wednesday,cole,16:00:00
172273,Saturday,west-colfax,04:00:00
220733,Wednesday,north-capitol-hill,16:00:00
506606,Sunday,washington-park-west,23:59:00
244638,Wednesday,civic-center,16:00:00
246575,Tuesday,university-hills,23:59:00
286436,Saturday,cory-merrill,16:00:00
131903,Saturday,five-points,16:00:00
318173,Thursday,speer,04:00:00
45263,Sunday,college-view-south-platte,12:00:00
258045,Saturday,sun-valley,23:59:00
281569,Monday,city-park-west,20:00:00
190082,Sunday,civic-center,04:00:00
375813,Friday,north-capitol-hill,23:59:00
18774,Thursday,congress-park,12:00:00
183264,Thursday,stapleton,12:00:00
195934,Friday,westwood,20:00:00
463793,Monday,speer,04:00:00
508048,Tuesday,sun-valley,20:00:00
341349,Tuesday,cheesman-park,16:00:00
330709,Monday,clayton,23:59:00
437654,Monday,berkeley,23:59:00
115840,Thursday,sunnyside,08:00:00
261403,Sunday,globeville,16:00:00
204073,Thursday,congress-park,16:00:00
278677,Saturday,harvey-park,20:00:00
192100,Saturday,globeville,04:00:00
415056,Sunday,cheesman-park,20:00:00
480278,Sunday,lowry-field,20:00:00
150367,Friday,speer,16:00:00
454898,Tuesday,university,16:00:00
205694,Thursday,stapleton,16:00:00
457805,Saturday,clayton,23:59:00
492492,Sunday,montbello,16:00:00
117032,Saturday,washington-park,08:00:00
445420,Monday,gateway-green-valley-ranch,20:00:00
40731,Wednesday,sunnyside,12:00:00
171260,Saturday,five-points,08:00:00
353586,Wednesday,washington-virginia-vale,04:00:00
148619,Saturday,berkeley,12:00:00
116849,Tuesday,highland,12:00:00
411177,Saturday,city-park-west,23:59:00
187280,Wednesday,elyria-swansea,12:00:00
331163,Monday,city-park-west,23:59:00
500648,Friday,windsor,23:59:00
517596,Saturday,cheesman-park,23:59:00
53058,Friday,elyria-swansea,08:00:00
504797,Thursday,west-colfax,16:00:00
193554,Tuesday,baker,16:00:00
143090,Thursday,chaffee-park,08:00:00
65422,Wednesday,cole,08:00:00
249802,Wednesday,athmar-park,16:00:00
343289,Saturday,whittier,16:00:00
42853,Thursday,lincoln-park,12:00:00
496599,Thursday,dia,20:00:00
59389,Thursday,marston,12:00:00
481011,Sunday,cbd,16:00:00
201394,Tuesday,washington-virginia-vale,16:00:00
348238,Saturday,cherry-creek,04:00:00
31499,Monday,windsor,12:00:00
347146,Saturday,harvey-park-south,16:00:00
494522,Monday,baker,23:59:00
364614,Saturday,capitol-hill,23:59:00
136037,Monday,cbd,08:00:00
416673,Friday,sloan-lake,20:00:00
393783,Tuesday,barnum-west,16:00:00
517324,Tuesday,rosedale,16:00:00
252570,Friday,cherry-creek,20:00:00
313256,Friday,baker,04:00:00
340463,Thursday,globeville,20:00:00
162321,Sunday,cbd,12:00:00
