,day_of_week,NEIGHBORHOOD_ID,TIME
36247,Monday,west-colfax,23:59:00
41715,Wednesday,union-station,23:59:00
6009,Sunday,cbd,20:00:00
86497,Friday,lincoln-park,16:00:00
41195,Thursday,west-colfax,23:59:00
32192,Wednesday,lincoln-park,23:59:00
14167,Sunday,capitol-hill,20:00:00
12876,Tuesday,stapleton,23:59:00
9552,Friday,east-colfax,23:59:00
67362,Monday,east-colfax,08:00:00
937,Friday,westwood,20:00:00
4379,Wednesday,cbd,04:00:00
13923,Sunday,five-points,23:59:00
31899,Sunday,baker,04:00:00
61372,Thursday,speer,04:00:00
49857,Saturday,marston,20:00:00
91430,Thursday,athmar-park,04:00:00
22033,Saturday,westwood,23:59:00
51008,Tuesday,city-park-west,23:59:00
75075,Wednesday,montbello,12:00:00
3309,Tuesday,stapleton,16:00:00
61121,Thursday,gateway-green-valley-ranch,12:00:00
2275,Sunday,west-highland,23:59:00
52798,Sunday,highland,23:59:00
32007,Friday,city-park,23:59:00
1291,Sunday,valverde,23:59:00
53309,Monday,congress-park,20:00:00
57649,Wednesday,union-station,16:00:00
64145,Wednesday,hilltop,08:00:00
27009,Wednesday,westwood,20:00:00
31313,Wednesday,cbd,16:00:00
59238,Wednesday,civic-center,16:00:00
59866,Monday,westwood,23:59:00
32597,Tuesday,east-colfax,16:00:00
2335,Tuesday,university-hills,20:00:00
14444,Thursday,stapleton,16:00:00
61097,Saturday,regis,16:00:00
46203,Friday,union-station,20:00:00
79969,Saturday,montclair,12:00:00
92799,Thursday,montbello,12:00:00
46238,Monday,cbd,16:00:00
22968,Monday,union-station,20:00:00
90948,Friday,cheesman-park,04:00:00
16948,Saturday,auraria,23:59:00
2433,Friday,civic-center,16:00:00
87024,Tuesday,union-station,08:00:00
54276,Wednesday,city-park-west,20:00:00
12203,Tuesday,sunnyside,16:00:00
4687,Tuesday,gateway-green-valley-ranch,16:00:00
60576,Thursday,gateway-green-valley-ranch,20:00:00
30861,Thursday,auraria,23:59:00
27163,Wednesday,highland,23:59:00
37156,Sunday,westwood,20:00:00
76849,Wednesday,five-points,12:00:00
77347,Wednesday,lowry-field,12:00:00
26404,Wednesday,chaffee-park,20:00:00
64154,Thursday,berkeley,12:00:00
59918,Thursday,east-colfax,20:00:00
90398,Sunday,south-park-hill,04:00:00
37411,Tuesday,belcaro,23:59:00
28557,Thursday,dia,16:00:00
26420,Saturday,harvey-park,16:00:00
21037,Saturday,west-colfax,20:00:00
52122,Thursday,civic-center,16:00:00
58317,Sunday,civic-center,16:00:00
1575,Saturday,barnum-west,23:59:00
93128,Monday,sloan-lake,12:00:00
68734,Saturday,montbello,04:00:00
93979,Monday,lincoln-park,12:00:00
57443,Sunday,globeville,16:00:00
92266,Sunday,globeville,04:00:00
20109,Saturday,montclair,20:00:00
42638,Saturday,union-station,04:00:00
86203,Thursday,villa-park,12:00:00
36657,Monday,west-highland,16:00:00
66065,Friday,country-club,04:00:00
247,Tuesday,college-view-south-platte,16:00:00
903,Friday,capitol-hill,20:00:00
71047,Friday,five-points,12:00:00
87991,Wednesday,cole,12:00:00
65565,Sunday,capitol-hill,04:00:00
61502,Saturday,south-park-hill,12:00:00
93836,Thursday,cheesman-park,04:00:00
39075,Thursday,valverde,23:59:00
75443,Tuesday,civic-center,08:00:00
61580,Tuesday,mar-lee,08:00:00
77390,Saturday,stapleton,04:00:00
16887,Tuesday,ruby-hill,20:00:00
93603,Saturday,westwood,16:00:00
48390,Saturday,mar-lee,16:00:00
66069,Wednesday,west-colfax,16:00:00
94282,Thursday,washington-virginia-vale,12:00:00
77214,Saturday,barnum,12:00:00
39079,Sunday,gateway-green-valley-ranch,16:00:00
63610,Monday,capitol-hill,12:00:00
27692,Friday,mar-lee,20:00:00
22798,Monday,gateway-green-valley-ranch,23:59:00
43128,Sunday,stapleton,23:59:00
56633,Sunday,athmar-park,16:00:00
63930,Friday,globeville,12:00:00
65399,Friday,highland,04:00:00
40474,Thursday,harvey-park,23:59:00
5085,Saturday,stapleton,16:00:00
16280,Wednesday,athmar-park,20:00:00
82151,Monday,speer,04:00:00
85802,Tuesday,ruby-hill,08:00:00
57934,Sunday,stapleton,16:00:00
46406,Monday,montbello,20:00:00
34760,Thursday,montbello,16:00:00
60871,Friday,lowry-field,16:00:00
53088,Friday,lowry-field,20:00:00
63886,Monday,harvey-park-south,12:00:00
28936,Thursday,highland,16:00:00
10947,Wednesday,globeville,23:59:00
9471,Wednesday,overland,20:00:00
60269,Monday,civic-center,16:00:00
32973,Wednesday,montbello,23:59:00
40619,Thursday,westwood,23:59:00
50843,Sunday,montclair,16:00:00
72405,Tuesday,lincoln-park,16:00:00
79410,Saturday,capitol-hill,16:00:00
47839,Saturday,east-colfax,20:00:00
9846,Wednesday,cbd,16:00:00
44780,Thursday,south-park-hill,23:59:00
4507,Wednesday,hampden,20:00:00
69837,Thursday,hilltop,12:00:00
21020,Monday,west-colfax,16:00:00
79170,Wednesday,west-colfax,16:00:00
9603,Thursday,five-points,04:00:00
74933,Monday,barnum,12:00:00
11893,Monday,villa-park,16:00:00
45387,Saturday,ruby-hill,23:59:00
68234,Tuesday,belcaro,04:00:00
18344,Friday,east-colfax,20:00:00
70317,Sunday,north-park-hill,04:00:00
34909,Friday,chaffee-park,20:00:00
20480,Tuesday,auraria,23:59:00
26668,Friday,northeast-park-hill,16:00:00
71305,Monday,westwood,12:00:00
78359,Saturday,cheesman-park,16:00:00
44735,Thursday,west-colfax,20:00:00
6129,Wednesday,capitol-hill,23:59:00
55965,Friday,overland,20:00:00
67135,Monday,speer,04:00:00
24658,Tuesday,montbello,20:00:00
62068,Saturday,montclair,16:00:00
87731,Thursday,athmar-park,16:00:00
25997,Friday,berkeley,16:00:00
19657,Friday,civic-center,16:00:00
72401,Monday,jefferson-park,04:00:00
24637,Thursday,east-colfax,23:59:00
62321,Wednesday,city-park,12:00:00
46770,Sunday,stapleton,20:00:00
56306,Saturday,barnum-west,20:00:00
83943,Friday,north-park-hill,16:00:00
54990,Thursday,capitol-hill,23:59:00
6710,Wednesday,cbd,16:00:00
31280,Friday,east-colfax,23:59:00
67186,Wednesday,sunnyside,08:00:00
82784,Wednesday,valverde,04:00:00
26522,Tuesday,westwood,16:00:00
69398,Monday,athmar-park,08:00:00
40670,Monday,ruby-hill,23:59:00
