,day_of_week,NEIGHBORHOOD_ID,TIME
497778,Saturday,union-station,20:00:00
322060,Friday,lincoln-park,23:59:00
83108,Thursday,congress-park,16:00:00
498402,Wednesday,union-station,23:59:00
250246,Sunday,auraria,16:00:00
392257,Saturday,capitol-hill,23:59:00
1160,Monday,cheesman-park,12:00:00
1290,Friday,virginia-village,04:00:00
200082,Saturday,athmar-park,16:00:00
279732,Tuesday,cbd,16:00:00
171986,Thursday,highland,04:00:00
460109,Thursday,civic-center,23:59:00
372333,Thursday,barnum-west,23:59:00
374641,Thursday,five-points,20:00:00
225944,Wednesday,berkeley,23:59:00
430092,Sunday,east-colfax,20:00:00
445491,Thursday,marston,23:59:00
204789,Saturday,fort-logan,23:59:00
298216,Wednesday,montbello,23:59:00
508616,Tuesday,hilltop,20:00:00
48881,Tuesday,north-capitol-hill,04:00:00
422435,Monday,marston,20:00:00
149873,Saturday,dia,08:00:00
64631,Friday,washington-park,12:00:00
137381,Monday,hampden-south,16:00:00
278574,Saturday,athmar-park,20:00:00
228945,Friday,montbello,16:00:00
134255,Thursday,east-colfax,04:00:00
330637,Sunday,five-points,20:00:00
334202,Wednesday,baker,23:59:00
148502,Monday,globeville,12:00:00
160706,Wednesday,northeast-park-hill,12:00:00
134422,Friday,civic-center,08:00:00
405004,Thursday,barnum,20:00:00
348506,Saturday,five-points,20:00:00
476980,Tuesday,stapleton,16:00:00
30050,Friday,montbello,12:00:00
174761,Monday,union-station,08:00:00
127472,Tuesday,stapleton,12:00:00
207919,Tuesday,west-colfax,23:59:00
392385,Monday,lincoln-park,23:59:00
467301,Wednesday,college-view-south-platte,20:00:00
515784,Monday,auraria,04:00:00
121077,Saturday,five-points,04:00:00
123205,Saturday,city-park-west,08:00:00
474019,Saturday,five-points,16:00:00
26423,Sunday,globeville,04:00:00
226347,Wednesday,west-colfax,20:00:00
284794,Sunday,university-park,23:59:00
339772,Saturday,five-points,23:59:00
495974,Tuesday,elyria-swansea,16:00:00
375107,Friday,hampden,23:59:00
338186,Saturday,west-colfax,20:00:00
194279,Saturday,west-colfax,20:00:00
253410,Saturday,north-capitol-hill,04:00:00
280262,Tuesday,harvey-park,23:59:00
313454,Tuesday,sunnyside,20:00:00
102669,Friday,baker,12:00:00
200081,Friday,villa-park,16:00:00
351995,Saturday,southmoor-park,20:00:00
401154,Tuesday,ruby-hill,04:00:00
148107,Wednesday,belcaro,12:00:00
240962,Tuesday,baker,20:00:00
148377,Monday,westwood,12:00:00
30273,Thursday,capitol-hill,04:00:00
439937,Wednesday,cbd,16:00:00
167255,Sunday,jefferson-park,04:00:00
309011,Thursday,five-points,20:00:00
245909,Wednesday,north-capitol-hill,04:00:00
377900,Monday,five-points,04:00:00
16186,Thursday,five-points,12:00:00
46577,Tuesday,hale,12:00:00
503327,Wednesday,hampden,16:00:00
108709,Saturday,hale,12:00:00
277852,Monday,mar-lee,20:00:00
510801,Monday,gateway-green-valley-ranch,04:00:00
424936,Friday,cherry-creek,20:00:00
178871,Sunday,overland,16:00:00
313056,Saturday,highland,20:00:00
467804,Friday,fort-logan,16:00:00
109321,Wednesday,west-colfax,12:00:00
349129,Thursday,westwood,20:00:00
210000,Monday,skyland,23:59:00
418591,Thursday,cherry-creek,04:00:00
110579,Saturday,harvey-park,08:00:00
402287,Sunday,five-points,23:59:00
132291,Thursday,stapleton,12:00:00
512397,Wednesday,elyria-swansea,16:00:00
364861,Sunday,lincoln-park,23:59:00
475696,Wednesday,gateway-green-valley-ranch,16:00:00
81195,Sunday,university,08:00:00
95037,Thursday,lincoln-park,12:00:00
504902,Sunday,barnum,20:00:00
246151,Monday,windsor,20:00:00
179752,Wednesday,university-hills,08:00:00
218356,Friday,washington-virginia-vale,20:00:00
204602,Thursday,five-points,23:59:00
308609,Wednesday,harvey-park-south,20:00:00
220861,Friday,westwood,20:00:00
193302,Monday,capitol-hill,16:00:00
390651,Wednesday,cbd,16:00:00
16051,Thursday,berkeley,08:00:00
54137,Thursday,baker,08:00:00
224224,Friday,cherry-creek,20:00:00
53936,Sunday,elyria-swansea,12:00:00
177028,Sunday,harvey-park,12:00:00
246412,Sunday,highland,20:00:00
59368,Tuesday,montbello,08:00:00
34059,Thursday,montbello,12:00:00
355749,Friday,east-colfax,16:00:00
320013,Saturday,cherry-creek,16:00:00
252086,Thursday,elyria-swansea,16:00:00
478064,Sunday,highland,20:00:00
404131,Thursday,university-hills,23:59:00
417332,Friday,ruby-hill,23:59:00
98026,Friday,elyria-swansea,12:00:00
273894,Thursday,auraria,04:00:00
467397,Saturday,hampden-south,04:00:00
369533,Sunday,virginia-village,20:00:00
191593,Thursday,villa-park,12:00:00
320418,Wednesday,sunnyside,23:59:00
176289,Monday,ruby-hill,04:00:00
292797,Saturday,highland,16:00:00
147058,Wednesday,windsor,12:00:00
63061,Monday,civic-center,04:00:00
259835,Saturday,sloan-lake,23:59:00
324060,Thursday,baker,23:59:00
122989,Friday,northeast-park-hill,12:00:00
316394,Tuesday,hampden,04:00:00
297345,Sunday,west-highland,23:59:00
85376,Wednesday,cbd,12:00:00
100983,Tuesday,city-park-west,12:00:00
78155,Wednesday,hampden-south,08:00:00
51329,Wednesday,sunnyside,04:00:00
400952,Friday,rosedale,16:00:00
63155,Wednesday,elyria-swansea,08:00:00
54425,Wednesday,northeast-park-hill,12:00:00
325442,Monday,capitol-hill,23:59:00
46847,Thursday,washington-park,04:00:00
