,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
249391,theft-from-motor-vehicle,20:00:00,college-view-south-platte
182122,aggravated-assault,12:00:00,harvey-park
148058,all-other-crimes,20:00:00,westwood
39460,all-other-crimes,16:00:00,lincoln-park
36785,robbery,23:59:00,valverde
480464,larceny,20:00:00,highland
452020,larceny,12:00:00,hampden
56571,public-disorder,04:00:00,mar-lee
410234,all-other-crimes,04:00:00,five-points
2498,all-other-crimes,23:59:00,east-colfax
245522,all-other-crimes,23:59:00,five-points
265709,larceny,16:00:00,cherry-creek
82035,all-other-crimes,23:59:00,lincoln-park
158025,all-other-crimes,23:59:00,montbello
341524,all-other-crimes,23:59:00,elyria-swansea
270240,robbery,16:00:00,clayton
158670,burglary,12:00:00,mar-lee
207615,other-crimes-against-persons,23:59:00,montbello
387837,public-disorder,16:00:00,harvey-park
6886,all-other-crimes,08:00:00,dia
282966,robbery,20:00:00,hampden-south
8506,public-disorder,20:00:00,sloan-lake
129286,larceny,16:00:00,west-colfax
367170,public-disorder,23:59:00,union-station
352338,all-other-crimes,04:00:00,westwood
367890,public-disorder,04:00:00,university
511984,all-other-crimes,20:00:00,gateway-green-valley-ranch
447592,all-other-crimes,16:00:00,auraria
445976,public-disorder,04:00:00,dia
512974,sexual-assault,16:00:00,northeast-park-hill
254473,all-other-crimes,20:00:00,hampden
215754,all-other-crimes,12:00:00,west-colfax
254941,theft-from-motor-vehicle,20:00:00,regis
21159,burglary,20:00:00,stapleton
265114,public-disorder,23:59:00,athmar-park
281702,aggravated-assault,12:00:00,civic-center
11450,drug-alcohol,16:00:00,west-colfax
143210,larceny,16:00:00,baker
126918,all-other-crimes,16:00:00,civic-center
216806,larceny,04:00:00,northeast-park-hill
300307,auto-theft,16:00:00,gateway-green-valley-ranch
487125,all-other-crimes,23:59:00,cole
413467,white-collar-crime,12:00:00,washington-park-west
195440,drug-alcohol,04:00:00,university-hills
248674,theft-from-motor-vehicle,16:00:00,speer
434566,all-other-crimes,23:59:00,cbd
54998,all-other-crimes,12:00:00,west-colfax
24182,aggravated-assault,04:00:00,union-station
397659,auto-theft,16:00:00,northeast-park-hill
117577,all-other-crimes,16:00:00,cbd
224614,larceny,16:00:00,five-points
270579,larceny,23:59:00,belcaro
428436,drug-alcohol,12:00:00,bear-valley
506775,burglary,16:00:00,civic-center
387897,larceny,23:59:00,berkeley
16223,larceny,20:00:00,north-capitol-hill
419228,public-disorder,16:00:00,west-colfax
126360,drug-alcohol,23:59:00,five-points
263294,all-other-crimes,20:00:00,north-park-hill
317591,larceny,16:00:00,congress-park
165326,other-crimes-against-persons,16:00:00,montbello
467724,aggravated-assault,23:59:00,southmoor-park
455933,burglary,08:00:00,stapleton
503038,all-other-crimes,23:59:00,gateway-green-valley-ranch
433513,theft-from-motor-vehicle,12:00:00,cole
95843,larceny,23:59:00,washington-park-west
482803,theft-from-motor-vehicle,20:00:00,westwood
97506,drug-alcohol,23:59:00,cbd
