,day_of_week,NEIGHBORHOOD_ID,TIME
24587,Saturday,stapleton,23:59:00
32177,Thursday,montbello,04:00:00
38182,Friday,baker,20:00:00
29090,Thursday,bear-valley,23:59:00
4670,Thursday,east-colfax,12:00:00
48621,Tuesday,westwood,20:00:00
19144,Monday,hale,08:00:00
52099,Friday,north-capitol-hill,16:00:00
28764,Wednesday,marston,23:59:00
11585,Wednesday,sunnyside,12:00:00
45337,Thursday,barnum,20:00:00
12493,Friday,lincoln-park,12:00:00
10053,Monday,mar-lee,04:00:00
54341,Monday,west-highland,20:00:00
15068,Thursday,cbd,16:00:00
16656,Monday,overland,12:00:00
15409,Monday,university-park,04:00:00
31689,Friday,hampden,23:59:00
17284,Friday,lincoln-park,12:00:00
25858,Sunday,five-points,04:00:00
52656,Tuesday,globeville,20:00:00
19227,Thursday,north-capitol-hill,04:00:00
3297,Tuesday,lincoln-park,12:00:00
2650,Sunday,union-station,04:00:00
16165,Tuesday,dia,12:00:00
13192,Wednesday,westwood,12:00:00
13064,Sunday,barnum-west,04:00:00
30969,Tuesday,baker,16:00:00
13170,Tuesday,athmar-park,08:00:00
33189,Friday,five-points,04:00:00
52722,Thursday,mar-lee,23:59:00
34526,Friday,congress-park,20:00:00
47076,Wednesday,harvey-park-south,16:00:00
12557,Thursday,gateway-green-valley-ranch,12:00:00
13034,Friday,union-station,12:00:00
22381,Saturday,sunnyside,20:00:00
50640,Wednesday,north-capitol-hill,04:00:00
15762,Wednesday,washington-virginia-vale,12:00:00
18714,Sunday,sloan-lake,12:00:00
20396,Tuesday,university-park,12:00:00
28514,Saturday,highland,04:00:00
38327,Tuesday,five-points,04:00:00
53842,Thursday,northeast-park-hill,23:59:00
36889,Friday,west-colfax,20:00:00
12351,Saturday,villa-park,12:00:00
7189,Monday,athmar-park,12:00:00
10911,Tuesday,lincoln-park,12:00:00
9922,Monday,civic-center,08:00:00
33238,Tuesday,montbello,16:00:00
12233,Monday,fort-logan,04:00:00
44052,Monday,valverde,04:00:00
30324,Thursday,gateway-green-valley-ranch,04:00:00
8617,Friday,city-park,12:00:00
29061,Monday,east-colfax,16:00:00
6126,Sunday,civic-center,16:00:00
27019,Sunday,highland,20:00:00
31549,Monday,whittier,16:00:00
3494,Saturday,washington-park,16:00:00
27218,Friday,fort-logan,16:00:00
3579,Tuesday,sunnyside,08:00:00
52306,Saturday,baker,23:59:00
44477,Sunday,athmar-park,23:59:00
12603,Tuesday,sun-valley,12:00:00
29279,Tuesday,westwood,16:00:00
20586,Monday,five-points,12:00:00
28661,Sunday,cherry-creek,16:00:00
39859,Saturday,congress-park,23:59:00
2253,Monday,east-colfax,16:00:00
54527,Wednesday,east-colfax,16:00:00
47621,Tuesday,five-points,16:00:00
44559,Wednesday,five-points,20:00:00
43961,Wednesday,villa-park,20:00:00
17964,Saturday,five-points,04:00:00
40097,Thursday,montbello,16:00:00
738,Thursday,northeast-park-hill,12:00:00
29208,Tuesday,villa-park,23:59:00
49828,Tuesday,barnum-west,16:00:00
5693,Sunday,five-points,12:00:00
38888,Sunday,west-colfax,23:59:00
3348,Wednesday,west-colfax,04:00:00
29845,Thursday,skyland,16:00:00
22802,Saturday,university,23:59:00
25738,Monday,harvey-park,23:59:00
26615,Tuesday,five-points,16:00:00
36776,Thursday,mar-lee,16:00:00
40235,Friday,jefferson-park,20:00:00
19076,Tuesday,washington-park-west,12:00:00
23277,Tuesday,five-points,20:00:00
12123,Sunday,montbello,04:00:00
36427,Monday,union-station,20:00:00
38126,Friday,capitol-hill,20:00:00
39450,Thursday,highland,20:00:00
37119,Saturday,five-points,20:00:00
39603,Thursday,jefferson-park,16:00:00
14577,Friday,montbello,04:00:00
3576,Thursday,congress-park,12:00:00
30075,Wednesday,goldsmith,16:00:00
32636,Wednesday,college-view-south-platte,23:59:00
32312,Thursday,five-points,20:00:00
3587,Wednesday,cole,12:00:00
14172,Monday,west-highland,12:00:00
17737,Monday,ruby-hill,04:00:00
28408,Tuesday,speer,20:00:00
40112,Monday,north-park-hill,16:00:00
3760,Wednesday,university,08:00:00
22892,Sunday,city-park,23:59:00
52022,Friday,hale,20:00:00
41284,Friday,montbello,23:59:00
53022,Sunday,five-points,23:59:00
19416,Thursday,baker,12:00:00
51498,Tuesday,capitol-hill,04:00:00
36212,Saturday,civic-center,16:00:00
2954,Tuesday,highland,12:00:00
14525,Saturday,union-station,04:00:00
28646,Sunday,hampden-south,20:00:00
35090,Saturday,lincoln-park,23:59:00
8453,Tuesday,five-points,08:00:00
52539,Tuesday,villa-park,23:59:00
48125,Friday,capitol-hill,23:59:00
32733,Wednesday,highland,23:59:00
35751,Friday,university,23:59:00
50855,Thursday,westwood,20:00:00
40208,Wednesday,marston,20:00:00
27434,Wednesday,lowry-field,23:59:00
11577,Wednesday,hampden,08:00:00
2130,Tuesday,barnum-west,12:00:00
28428,Wednesday,mar-lee,16:00:00
32797,Thursday,lowry-field,20:00:00
18581,Friday,westwood,04:00:00
30779,Thursday,speer,16:00:00
41322,Monday,gateway-green-valley-ranch,23:59:00
38387,Thursday,city-park-west,23:59:00
5671,Tuesday,barnum,12:00:00
32090,Sunday,capitol-hill,20:00:00
10247,Monday,west-colfax,08:00:00
22863,Monday,hampden-south,16:00:00
40629,Tuesday,windsor,23:59:00
23158,Monday,lincoln-park,23:59:00
30196,Tuesday,hampden-south,20:00:00
16311,Saturday,civic-center,08:00:00
9936,Saturday,city-park-west,16:00:00
10533,Wednesday,city-park,12:00:00
49896,Thursday,washington-virginia-vale,16:00:00
39808,Wednesday,westwood,16:00:00
9430,Sunday,clayton,04:00:00
17051,Sunday,hale,04:00:00
43337,Friday,gateway-green-valley-ranch,20:00:00
47484,Sunday,gateway-green-valley-ranch,23:59:00
44541,Wednesday,mar-lee,20:00:00
736,Sunday,overland,12:00:00
50714,Monday,rosedale,20:00:00
27180,Sunday,montbello,23:59:00
46033,Saturday,virginia-village,16:00:00
35603,Friday,hale,16:00:00
42845,Thursday,windsor,23:59:00
4836,Saturday,villa-park,04:00:00
53874,Sunday,stapleton,23:59:00
48730,Friday,capitol-hill,16:00:00
11186,Sunday,north-capitol-hill,08:00:00
10753,Sunday,lincoln-park,04:00:00
22153,Friday,sunnyside,20:00:00
47869,Tuesday,sunnyside,16:00:00
18491,Wednesday,mar-lee,08:00:00
38466,Monday,gateway-green-valley-ranch,20:00:00
34627,Wednesday,barnum-west,23:59:00
27889,Sunday,montbello,16:00:00
41951,Thursday,montbello,23:59:00
49234,Thursday,lowry-field,20:00:00
34169,Sunday,cbd,16:00:00
36866,Wednesday,lincoln-park,20:00:00
24094,Thursday,ruby-hill,20:00:00
23863,Saturday,mar-lee,23:59:00
51742,Tuesday,elyria-swansea,23:59:00
45907,Sunday,globeville,16:00:00
30659,Sunday,five-points,16:00:00
8573,Sunday,highland,04:00:00
47168,Friday,mar-lee,23:59:00
15287,Monday,baker,12:00:00
30955,Tuesday,auraria,04:00:00
40301,Wednesday,cbd,23:59:00
25390,Monday,university-hills,23:59:00
20523,Sunday,westwood,16:00:00
52245,Monday,university-hills,20:00:00
19570,Sunday,north-capitol-hill,04:00:00
35449,Sunday,west-colfax,16:00:00
24151,Monday,cbd,23:59:00
4442,Friday,northeast-park-hill,12:00:00
6747,Monday,elyria-swansea,12:00:00
47192,Tuesday,washington-virginia-vale,16:00:00
54432,Sunday,clayton,20:00:00
51799,Tuesday,marston,23:59:00
11714,Wednesday,five-points,12:00:00
11045,Friday,civic-center,08:00:00
32556,Saturday,montbello,23:59:00
32721,Friday,clayton,16:00:00
54130,Thursday,university-park,23:59:00
8747,Monday,barnum,16:00:00
36026,Friday,elyria-swansea,23:59:00
12225,Monday,ruby-hill,04:00:00
49246,Tuesday,dia,23:59:00
31881,Wednesday,harvey-park,23:59:00
32313,Saturday,city-park-west,23:59:00
7971,Friday,five-points,08:00:00
9356,Sunday,sloan-lake,12:00:00
52703,Friday,cory-merrill,23:59:00
31577,Thursday,cbd,23:59:00
37444,Tuesday,five-points,23:59:00
25851,Sunday,athmar-park,23:59:00
31015,Saturday,north-capitol-hill,04:00:00
19358,Thursday,montbello,04:00:00
51964,Wednesday,speer,23:59:00
22087,Thursday,mar-lee,23:59:00
51591,Sunday,sunnyside,20:00:00
19146,Monday,harvey-park,12:00:00
1146,Friday,elyria-swansea,04:00:00
1235,Sunday,civic-center,04:00:00
21009,Tuesday,city-park,12:00:00
11466,Sunday,five-points,04:00:00
17755,Monday,montbello,04:00:00
34043,Saturday,five-points,20:00:00
8292,Monday,north-park-hill,04:00:00
3479,Tuesday,hampden-south,12:00:00
37955,Saturday,lowry-field,23:59:00
12806,Thursday,speer,12:00:00
29611,Wednesday,lowry-field,20:00:00
42426,Friday,speer,23:59:00
22582,Saturday,highland,04:00:00
3269,Saturday,barnum,12:00:00
