,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LAT,GEO_LON
0,Tuesday,stapleton,16:00:00,39.7751821,-104.8759758
1,Sunday,cherry-creek,08:00:00,39.7190747,-104.94340700000001
2,Monday,baker,04:00:00,39.7170509,-104.9930872
3,Thursday,university,04:00:00,39.6662722,-104.9691459
4,Wednesday,five-points,04:00:00,39.7583622,-104.9868663
5,Tuesday,east-colfax,12:00:00,39.7404759,-104.8990929
6,Tuesday,east-colfax,12:00:00,39.7404759,-104.8990929
7,Thursday,west-colfax,04:00:00,39.7369201,-105.0291595
8,Thursday,cheesman-park,04:00:00,39.7398114,-104.9638386
9,Saturday,lowry-field,08:00:00,39.7248523,-104.8763809
10,Saturday,university-park,04:00:00,39.6789887,-104.9583307
11,Wednesday,sloan-lake,12:00:00,39.7556256,-105.038004
12,Friday,stapleton,08:00:00,39.7838893,-104.8915865
13,Wednesday,montbello,12:00:00,39.7857036,-104.8259803
14,Wednesday,montbello,12:00:00,39.7857036,-104.8259803
15,Saturday,gateway-green-valley-ranch,12:00:00,39.7725814,-104.7540779
16,Tuesday,stapleton,04:00:00,39.7840835,-104.8872153
17,Sunday,northeast-park-hill,12:00:00,39.7759284,-104.939195
18,Wednesday,west-colfax,08:00:00,39.7373426,-105.032524
19,Sunday,union-station,04:00:00,39.7522959,-104.9972177
20,Monday,hampden-south,12:00:00,39.6370633,-104.9058542
21,Wednesday,montbello,12:00:00,39.7779873,-104.836248
22,Tuesday,barnum,12:00:00,39.7222261,-105.0343383
23,Thursday,cherry-creek,08:00:00,39.7196766,-104.9511484
24,Tuesday,lincoln-park,08:00:00,39.7339566,-104.9989101
25,Thursday,cherry-creek,08:00:00,39.7209747,-104.9534206
26,Wednesday,hampden-south,12:00:00,39.6423256,-104.8828309
27,Monday,south-park-hill,12:00:00,39.7439241,-104.9403186
28,Monday,virginia-village,12:00:00,39.6788076,-104.9327337
29,Friday,baker,04:00:00,39.7228247,-105.00872700000001
30,Friday,west-colfax,08:00:00,39.7367214,-105.0330295
31,Sunday,gateway-green-valley-ranch,12:00:00,39.793012,-104.7459352
32,Monday,hilltop,12:00:00,39.7237024,-104.9351685
33,Monday,north-capitol-hill,04:00:00,39.7450242,-104.98213100000001
34,Monday,city-park,04:00:00,39.7424394,-104.9544517
35,Monday,fort-logan,04:00:00,39.6504237,-105.0552208
36,Monday,university-park,12:00:00,39.6807319,-104.9512007
37,Wednesday,whittier,12:00:00,39.7552179,-104.9705355
38,Tuesday,civic-center,12:00:00,39.7348111,-104.9876111
39,Friday,capitol-hill,08:00:00,39.7332355,-104.97953000000001
40,Thursday,east-colfax,12:00:00,39.7451638,-104.8861329
41,Thursday,dia,12:00:00,39.820745,-104.76910500000001
42,Thursday,north-capitol-hill,04:00:00,39.7443891,-104.9831528
43,Wednesday,windsor,08:00:00,39.6994933,-104.8778466
44,Thursday,north-park-hill,12:00:00,39.7566519,-104.9335942
45,Thursday,five-points,12:00:00,39.7578439,-104.9888798
46,Thursday,five-points,12:00:00,39.7578439,-104.9888798
47,Friday,union-station,04:00:00,39.7558025,-104.9987078
48,Monday,stapleton,08:00:00,39.7546907,-104.8937
49,Monday,washington-park,12:00:00,39.6954739,-104.9660394
50,Monday,west-colfax,12:00:00,39.7458557,-105.0346152
51,Monday,westwood,08:00:00,39.7071218,-105.0528035
52,Sunday,university,08:00:00,39.6845259,-104.9636995
53,Wednesday,berkeley,04:00:00,39.7825105,-105.0396236
54,Wednesday,hampden-south,08:00:00,39.6421828,-104.8817739
55,Thursday,five-points,16:00:00,39.7540914,-104.9839171
56,Monday,cbd,12:00:00,39.7475429,-104.9937844
57,Saturday,baker,12:00:00,39.7137288,-104.9879535
58,Wednesday,capitol-hill,04:00:00,39.7294906,-104.9794334
59,Wednesday,city-park,04:00:00,39.7416099,-104.9561402
60,Wednesday,sunnyside,08:00:00,39.7770356,-105.0003313
61,Wednesday,five-points,12:00:00,39.7545403,-104.9892773
62,Wednesday,five-points,12:00:00,39.7545403,-104.9892773
63,Sunday,university-park,04:00:00,39.6819719,-104.9428414
64,Monday,lincoln-park,04:00:00,39.7270347,-104.9973739
65,Sunday,stapleton,04:00:00,39.7811251,-104.8926993
66,Friday,city-park-west,12:00:00,39.7403882,-104.9717889
67,Monday,civic-center,08:00:00,39.7350087,-104.9920294
68,Saturday,hampden,04:00:00,39.6681618,-104.872373
69,Sunday,northeast-park-hill,04:00:00,39.7641236,-104.9322604
70,Friday,hampden,04:00:00,39.67313,-104.8732345
71,Monday,lincoln-park,16:00:00,39.7381387,-104.9991611
72,Friday,montclair,08:00:00,39.7395246,-104.9085564
73,Monday,lincoln-park,16:00:00,39.7381387,-104.9991611
74,Sunday,hampden-south,04:00:00,39.6369182,-104.9032243
75,Wednesday,gateway-green-valley-ranch,12:00:00,39.784901,-104.7380376
76,Wednesday,civic-center,08:00:00,39.7350087,-104.9920294
77,Wednesday,gateway-green-valley-ranch,04:00:00,39.7720753,-104.7372307
78,Wednesday,capitol-hill,12:00:00,39.7398872,-104.9794949
