,day_of_week,NEIGHBORHOOD_ID,TIME
140811,Wednesday,cbd,23:59:00
133887,Sunday,university-hills,23:59:00
33763,Friday,hampden,12:00:00
79570,Thursday,gateway-green-valley-ranch,20:00:00
104905,Saturday,bear-valley,23:59:00
58231,Monday,dia,23:59:00
41078,Tuesday,cory-merrill,12:00:00
82850,Thursday,sunnyside,16:00:00
77948,Saturday,university-hills,20:00:00
46934,Monday,stapleton,08:00:00
132154,Monday,five-points,16:00:00
49347,Monday,cole,04:00:00
32057,Sunday,gateway-green-valley-ranch,04:00:00
102099,Friday,stapleton,23:59:00
10941,Wednesday,montbello,08:00:00
5639,Monday,capitol-hill,12:00:00
94090,Sunday,capitol-hill,20:00:00
139885,Friday,lowry-field,23:59:00
140890,Thursday,berkeley,16:00:00
108695,Friday,cheesman-park,04:00:00
5550,Thursday,cbd,12:00:00
29625,Monday,capitol-hill,12:00:00
127164,Monday,athmar-park,23:59:00
22131,Monday,westwood,16:00:00
148094,Wednesday,dia,20:00:00
103955,Saturday,southmoor-park,16:00:00
20684,Monday,cbd,08:00:00
54860,Thursday,washington-park-west,16:00:00
103563,Sunday,cherry-creek,23:59:00
9384,Wednesday,stapleton,04:00:00
31513,Friday,five-points,12:00:00
13364,Wednesday,university,12:00:00
89165,Sunday,congress-park,20:00:00
68632,Wednesday,montclair,23:59:00
54606,Thursday,dia,23:59:00
6189,Sunday,indian-creek,08:00:00
113753,Wednesday,union-station,16:00:00
40675,Thursday,cherry-creek,12:00:00
139359,Sunday,east-colfax,23:59:00
129462,Sunday,five-points,23:59:00
71597,Wednesday,stapleton,16:00:00
95745,Thursday,northeast-park-hill,23:59:00
83034,Wednesday,highland,20:00:00
138617,Tuesday,sunnyside,20:00:00
125390,Friday,city-park-west,23:59:00
100225,Saturday,regis,23:59:00
132865,Friday,city-park,20:00:00
63275,Friday,chaffee-park,20:00:00
31598,Friday,montbello,08:00:00
143959,Friday,five-points,04:00:00
5408,Tuesday,city-park,08:00:00
90094,Sunday,stapleton,20:00:00
39910,Tuesday,dia,08:00:00
75481,Monday,globeville,16:00:00
72884,Wednesday,stapleton,20:00:00
121440,Saturday,skyland,23:59:00
19293,Wednesday,hampden,04:00:00
110286,Wednesday,overland,20:00:00
134044,Thursday,gateway-green-valley-ranch,16:00:00
11822,Saturday,five-points,04:00:00
121190,Friday,stapleton,20:00:00
122816,Saturday,baker,16:00:00
106556,Sunday,marston,16:00:00
72520,Friday,highland,20:00:00
110657,Saturday,west-colfax,23:59:00
11241,Friday,union-station,12:00:00
71236,Tuesday,montclair,20:00:00
10061,Saturday,elyria-swansea,04:00:00
135269,Saturday,stapleton,23:59:00
101918,Saturday,athmar-park,16:00:00
60618,Friday,mar-lee,20:00:00
69874,Saturday,sunnyside,20:00:00
71874,Monday,sloan-lake,16:00:00
74277,Wednesday,valverde,16:00:00
138941,Monday,highland,16:00:00
31594,Monday,overland,12:00:00
39039,Thursday,globeville,04:00:00
59122,Wednesday,virginia-village,23:59:00
118324,Friday,college-view-south-platte,16:00:00
26633,Monday,west-colfax,12:00:00
56658,Wednesday,ruby-hill,16:00:00
146526,Saturday,villa-park,20:00:00
14441,Wednesday,washington-park,04:00:00
41370,Friday,stapleton,12:00:00
30450,Monday,five-points,12:00:00
108034,Friday,speer,16:00:00
115941,Tuesday,northeast-park-hill,16:00:00
89068,Saturday,fort-logan,23:59:00
133354,Sunday,stapleton,16:00:00
52345,Thursday,speer,08:00:00
38436,Saturday,globeville,04:00:00
68150,Thursday,southmoor-park,23:59:00
50128,Sunday,montbello,08:00:00
42060,Saturday,jefferson-park,08:00:00
69344,Tuesday,lincoln-park,23:59:00
68799,Monday,capitol-hill,23:59:00
95817,Tuesday,washington-park,23:59:00
18925,Thursday,five-points,16:00:00
96010,Saturday,capitol-hill,04:00:00
97741,Friday,barnum-west,23:59:00
71190,Friday,capitol-hill,16:00:00
131336,Sunday,cbd,20:00:00
71652,Wednesday,harvey-park-south,16:00:00
44165,Saturday,elyria-swansea,08:00:00
125110,Friday,rosedale,16:00:00
47316,Tuesday,five-points,12:00:00
62408,Tuesday,virginia-village,23:59:00
74032,Thursday,overland,20:00:00
92022,Monday,university-park,23:59:00
112125,Wednesday,stapleton,04:00:00
126494,Thursday,virginia-village,23:59:00
29558,Monday,cole,08:00:00
70366,Tuesday,athmar-park,20:00:00
127040,Wednesday,hampden,20:00:00
126601,Thursday,college-view-south-platte,23:59:00
81208,Sunday,valverde,23:59:00
40132,Friday,montbello,04:00:00
89728,Monday,montbello,04:00:00
128232,Tuesday,cbd,20:00:00
108456,Thursday,city-park-west,23:59:00
117403,Saturday,cbd,20:00:00
30006,Wednesday,cbd,12:00:00
136167,Monday,rosedale,23:59:00
60185,Thursday,ruby-hill,16:00:00
138453,Wednesday,stapleton,16:00:00
111505,Tuesday,hampden,20:00:00
120877,Friday,city-park-west,16:00:00
66824,Monday,west-highland,20:00:00
138227,Tuesday,university,20:00:00
45054,Monday,congress-park,12:00:00
90549,Tuesday,auraria,20:00:00
146162,Thursday,hampden,23:59:00
10359,Saturday,university-park,04:00:00
14084,Wednesday,villa-park,08:00:00
19985,Monday,washington-virginia-vale,04:00:00
92462,Wednesday,belcaro,16:00:00
74178,Tuesday,marston,20:00:00
74073,Sunday,harvey-park,23:59:00
30683,Wednesday,stapleton,08:00:00
14355,Friday,elyria-swansea,12:00:00
30736,Friday,city-park,12:00:00
32293,Saturday,east-colfax,04:00:00
49293,Thursday,cbd,12:00:00
6734,Wednesday,berkeley,08:00:00
103030,Thursday,southmoor-park,20:00:00
54637,Wednesday,washington-park-west,20:00:00
136267,Wednesday,north-park-hill,23:59:00
120016,Thursday,gateway-green-valley-ranch,16:00:00
19596,Wednesday,athmar-park,08:00:00
80645,Sunday,five-points,23:59:00
73444,Saturday,sunnyside,20:00:00
6613,Sunday,southmoor-park,04:00:00
85215,Friday,chaffee-park,23:59:00
70697,Saturday,regis,23:59:00
97779,Tuesday,hampden,20:00:00
107537,Wednesday,northeast-park-hill,16:00:00
9754,Monday,country-club,12:00:00
101601,Friday,jefferson-park,20:00:00
118659,Monday,union-station,16:00:00
90332,Thursday,westwood,23:59:00
124884,Thursday,goldsmith,16:00:00
13749,Thursday,hampden,04:00:00
84326,Saturday,villa-park,04:00:00
145311,Tuesday,harvey-park,20:00:00
90737,Friday,speer,23:59:00
132643,Tuesday,lowry-field,16:00:00
13178,Saturday,cory-merrill,08:00:00
24558,Friday,gateway-green-valley-ranch,08:00:00
122810,Friday,cbd,04:00:00
61583,Saturday,washington-virginia-vale,23:59:00
41397,Saturday,northeast-park-hill,16:00:00
72,Tuesday,belcaro,08:00:00
108718,Wednesday,cbd,20:00:00
86092,Tuesday,union-station,20:00:00
133294,Thursday,fort-logan,20:00:00
39249,Monday,stapleton,04:00:00
121518,Wednesday,stapleton,20:00:00
82192,Tuesday,capitol-hill,23:59:00
3872,Wednesday,globeville,12:00:00
4547,Thursday,villa-park,08:00:00
39735,Friday,five-points,08:00:00
5224,Saturday,overland,16:00:00
