,day_of_week,NEIGHBORHOOD_ID,TIME
2222,Tuesday,mar-lee,12:00:00
1697,Monday,cherry-creek,12:00:00
2013,Monday,virginia-village,08:00:00
4859,Wednesday,stapleton,20:00:00
2474,Monday,cheesman-park,08:00:00
3332,Tuesday,windsor,04:00:00
6402,Wednesday,east-colfax,16:00:00
2217,Saturday,sun-valley,08:00:00
6799,Tuesday,south-park-hill,23:59:00
3458,Tuesday,dia,23:59:00
5198,Tuesday,cbd,20:00:00
3850,Friday,washington-park,23:59:00
2936,Sunday,windsor,08:00:00
3028,Thursday,montbello,16:00:00
6071,Monday,union-station,20:00:00
76,Sunday,chaffee-park,16:00:00
4469,Friday,west-highland,23:59:00
5441,Sunday,south-park-hill,16:00:00
5037,Thursday,gateway-green-valley-ranch,23:59:00
2933,Monday,belcaro,08:00:00
3661,Monday,cherry-creek,20:00:00
3359,Wednesday,cbd,20:00:00
6651,Thursday,dia,20:00:00
4807,Sunday,capitol-hill,23:59:00
6094,Friday,highland,04:00:00
4396,Thursday,valverde,16:00:00
523,Saturday,ruby-hill,08:00:00
5362,Thursday,west-highland,16:00:00
3704,Friday,university-hills,16:00:00
2989,Friday,cherry-creek,12:00:00
6347,Tuesday,berkeley,16:00:00
243,Friday,speer,12:00:00
6455,Tuesday,west-colfax,20:00:00
2320,Tuesday,valverde,12:00:00
4328,Wednesday,cherry-creek,16:00:00
2601,Saturday,stapleton,08:00:00
982,Friday,mar-lee,12:00:00
6370,Monday,regis,04:00:00
5148,Tuesday,city-park-west,20:00:00
1940,Friday,speer,16:00:00
1618,Wednesday,windsor,12:00:00
1933,Friday,stapleton,12:00:00
1686,Tuesday,stapleton,12:00:00
4959,Wednesday,marston,20:00:00
6248,Tuesday,sunnyside,20:00:00
3836,Thursday,cbd,20:00:00
6075,Tuesday,cherry-creek,16:00:00
2950,Saturday,gateway-green-valley-ranch,16:00:00
5788,Friday,mar-lee,23:59:00
6745,Thursday,speer,16:00:00
292,Saturday,highland,08:00:00
895,Wednesday,westwood,04:00:00
2679,Sunday,elyria-swansea,08:00:00
4166,Thursday,five-points,23:59:00
1601,Monday,five-points,12:00:00
234,Friday,sun-valley,12:00:00
109,Monday,athmar-park,08:00:00
620,Monday,stapleton,12:00:00
5120,Thursday,dia,04:00:00
4954,Sunday,goldsmith,23:59:00
4785,Saturday,westwood,23:59:00
6497,Tuesday,hampden,16:00:00
1055,Friday,cole,08:00:00
4036,Friday,athmar-park,16:00:00
4832,Monday,cbd,16:00:00
3117,Friday,hilltop,04:00:00
6250,Saturday,washington-virginia-vale,23:59:00
2344,Friday,virginia-village,12:00:00
4262,Tuesday,north-capitol-hill,04:00:00
5832,Friday,virginia-village,16:00:00
2296,Monday,regis,12:00:00
6194,Monday,marston,16:00:00
3883,Saturday,stapleton,16:00:00
6894,Friday,city-park-west,23:59:00
4348,Friday,cherry-creek,20:00:00
3,Wednesday,harvey-park,12:00:00
3599,Wednesday,sunnyside,04:00:00
2252,Friday,five-points,04:00:00
1428,Saturday,northeast-park-hill,12:00:00
2633,Tuesday,montbello,12:00:00
2352,Saturday,elyria-swansea,08:00:00
860,Saturday,stapleton,04:00:00
3472,Wednesday,university-park,16:00:00
200,Saturday,stapleton,12:00:00
3219,Saturday,dia,16:00:00
1957,Thursday,east-colfax,12:00:00
43,Saturday,capitol-hill,12:00:00
717,Wednesday,sunnyside,12:00:00
3628,Thursday,college-view-south-platte,20:00:00
3432,Thursday,five-points,16:00:00
5986,Thursday,university-park,20:00:00
320,Wednesday,cory-merrill,12:00:00
1113,Sunday,university-hills,08:00:00
2756,Tuesday,highland,08:00:00
1897,Monday,cheesman-park,12:00:00
1788,Sunday,dia,04:00:00
1820,Friday,five-points,12:00:00
4709,Wednesday,south-park-hill,04:00:00
2994,Monday,union-station,04:00:00
6974,Friday,belcaro,04:00:00
4918,Saturday,ruby-hill,04:00:00
1602,Monday,capitol-hill,08:00:00
6569,Sunday,civic-center,04:00:00
2031,Wednesday,speer,12:00:00
4220,Friday,belcaro,16:00:00
