,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LAT,GEO_LON
0,Tuesday,dia,04:00:00,39.8092419,-104.7712326
1,Thursday,capitol-hill,12:00:00,39.7387071,-104.98143799999998
2,Thursday,five-points,12:00:00,39.7506449,-104.9811328
3,Wednesday,harvey-park,12:00:00,39.6687022,-105.0291516
4,Sunday,chaffee-park,12:00:00,39.7849304,-105.0166571
5,Tuesday,west-highland,04:00:00,39.768806,-105.05306100000001
6,Tuesday,washington-park,12:00:00,39.6967454,-104.9619038
7,Thursday,five-points,12:00:00,39.7545403,-104.9892773
8,Tuesday,stapleton,04:00:00,39.7696306,-104.8470281
9,Friday,lowry-field,08:00:00,39.728219,-104.8997988
10,Wednesday,virginia-village,08:00:00,39.6834777,-104.938523
11,Saturday,whittier,12:00:00,39.7547901,-104.9712394
12,Monday,virginia-village,12:00:00,39.6859041,-104.9186517
13,Friday,north-capitol-hill,08:00:00,39.742064,-104.9869678
14,Friday,washington-park,12:00:00,39.6982699,-104.9620947
15,Tuesday,cherry-creek,08:00:00,39.7199997,-104.9580603
16,Thursday,cbd,12:00:00,39.7416687,-104.9926675
17,Tuesday,north-capitol-hill,08:00:00,39.7473634,-104.9828144
18,Friday,cbd,04:00:00,39.7438821,-104.9877618
19,Thursday,harvey-park-south,12:00:00,39.6677058,-105.0298723
20,Wednesday,north-park-hill,08:00:00,39.7536874,-104.9112965
21,Tuesday,west-highland,04:00:00,39.768806,-105.05306100000001
22,Monday,cbd,08:00:00,39.7451559,-104.990921
23,Sunday,southmoor-park,12:00:00,39.6262189,-104.9047282
24,Saturday,lincoln-park,08:00:00,39.739042,-104.9991974
25,Monday,capitol-hill,08:00:00,39.7351376,-104.9831747
26,Saturday,montbello,08:00:00,39.7799537,-104.8124581
27,Monday,cbd,12:00:00,39.7451559,-104.990921
28,Sunday,baker,12:00:00,39.7103311,-104.9970848
29,Wednesday,auraria,12:00:00,39.7413836,-105.0102435
30,Friday,stapleton,12:00:00,39.7700121,-104.8479993
31,Sunday,montclair,08:00:00,39.7398786,-104.92123400000001
32,Sunday,hampden-south,08:00:00,39.6510607,-104.8991087
33,Tuesday,bear-valley,08:00:00,39.6541815,-105.0668179
34,Friday,west-colfax,16:00:00,39.7402248,-105.0269646
35,Thursday,montbello,08:00:00,39.7968132,-104.828322
36,Thursday,speer,12:00:00,39.7214313,-104.9871329
37,Sunday,lincoln-park,12:00:00,39.7397031,-105.0036162
38,Friday,west-highland,12:00:00,39.768806,-105.05306100000001
39,Saturday,stapleton,12:00:00,39.7566019,-104.9018464
40,Sunday,sunnyside,08:00:00,39.7771523,-105.0039203
41,Tuesday,sloan-lake,12:00:00,39.7481411,-105.0384552
42,Monday,northeast-park-hill,12:00:00,39.7664845,-104.90501699999999
43,Saturday,capitol-hill,12:00:00,39.7370593,-104.9831819
44,Friday,hale,08:00:00,39.7317189,-104.9306453
45,Wednesday,northeast-park-hill,12:00:00,39.7649661,-104.9038881
46,Monday,gateway-green-valley-ranch,16:00:00,39.7770144,-104.8046632
47,Thursday,elyria-swansea,16:00:00,39.7825839,-104.9510579
48,Friday,highland,12:00:00,39.762288,-105.0087706
49,Friday,harvey-park,12:00:00,39.6803824,-105.0261279
50,Saturday,five-points,12:00:00,39.7525034,-104.9911949
51,Tuesday,harvey-park-south,12:00:00,39.6648111,-105.033046
52,Monday,north-capitol-hill,08:00:00,39.7427184,-104.9772157
53,Monday,union-station,12:00:00,39.7509621,-104.9992225
54,Saturday,gateway-green-valley-ranch,12:00:00,39.7709648,-104.75285
55,Tuesday,dia,04:00:00,39.8373592,-104.7112189
56,Friday,union-station,12:00:00,39.7544768,-105.0013634
57,Friday,berkeley,08:00:00,39.7793756,-105.0354565
58,Saturday,villa-park,16:00:00,39.7270352,-105.0489897
59,Sunday,stapleton,04:00:00,39.7715876,-104.8469458
60,Friday,overland,12:00:00,39.694925,-104.9876749
61,Thursday,east-colfax,12:00:00,39.7343882,-104.8850076
62,Wednesday,northeast-park-hill,16:00:00,39.7711963,-104.9106692
63,Monday,windsor,08:00:00,39.698699,-104.8923642
64,Saturday,cory-merrill,08:00:00,39.696077,-104.9410413
65,Sunday,washington-park-west,16:00:00,39.7090147,-104.98721299999998
66,Wednesday,east-colfax,12:00:00,39.7402222,-104.901026
67,Saturday,mar-lee,12:00:00,39.6836993,-105.0324478
68,Monday,hampden,12:00:00,39.6557965,-104.8969868
69,Monday,hampden,12:00:00,39.6541272,-104.8980311
