,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
524600,drug-alcohol,20:00:00,rosedale
367325,drug-alcohol,12:00:00,marston
497561,white-collar-crime,04:00:00,montbello
427124,larceny,23:59:00,stapleton
280436,theft-from-motor-vehicle,16:00:00,capitol-hill
505836,theft-from-motor-vehicle,20:00:00,berkeley
501439,other-crimes-against-persons,04:00:00,clayton
97042,other-crimes-against-persons,20:00:00,cheesman-park
171799,drug-alcohol,20:00:00,five-points
341761,public-disorder,04:00:00,five-points
172090,auto-theft,12:00:00,lincoln-park
453607,theft-from-motor-vehicle,08:00:00,university-park
466024,white-collar-crime,20:00:00,sloan-lake
430235,all-other-crimes,16:00:00,northeast-park-hill
146354,drug-alcohol,12:00:00,speer
295124,burglary,08:00:00,highland
159716,other-crimes-against-persons,16:00:00,montbello
485424,other-crimes-against-persons,20:00:00,barnum
354451,drug-alcohol,08:00:00,valverde
417027,auto-theft,12:00:00,ruby-hill
380513,all-other-crimes,08:00:00,ruby-hill
375555,larceny,23:59:00,cheesman-park
212382,all-other-crimes,23:59:00,west-colfax
48924,aggravated-assault,08:00:00,northeast-park-hill
443843,drug-alcohol,16:00:00,cheesman-park
92524,all-other-crimes,20:00:00,cherry-creek
30278,public-disorder,08:00:00,auraria
266549,larceny,08:00:00,cbd
428005,white-collar-crime,20:00:00,skyland
370162,auto-theft,23:59:00,mar-lee
120206,public-disorder,20:00:00,sloan-lake
419836,larceny,12:00:00,dia
397184,public-disorder,20:00:00,union-station
124183,all-other-crimes,12:00:00,lincoln-park
166599,all-other-crimes,16:00:00,civic-center
443168,public-disorder,20:00:00,barnum
223106,public-disorder,23:59:00,lincoln-park
72864,all-other-crimes,20:00:00,cory-merrill
309698,drug-alcohol,16:00:00,civic-center
59190,aggravated-assault,23:59:00,baker
401274,other-crimes-against-persons,23:59:00,virginia-village
520667,auto-theft,12:00:00,regis
513311,public-disorder,16:00:00,hampden-south
183923,theft-from-motor-vehicle,20:00:00,five-points
347000,public-disorder,12:00:00,civic-center
95832,public-disorder,23:59:00,clayton
130031,auto-theft,23:59:00,globeville
182691,aggravated-assault,23:59:00,clayton
482180,public-disorder,20:00:00,skyland
348434,all-other-crimes,04:00:00,five-points
309888,public-disorder,12:00:00,montbello
367827,theft-from-motor-vehicle,23:59:00,northeast-park-hill
301858,public-disorder,12:00:00,cbd
215576,drug-alcohol,23:59:00,east-colfax
237789,aggravated-assault,12:00:00,hale
407147,larceny,16:00:00,harvey-park
356131,other-crimes-against-persons,20:00:00,harvey-park
313595,public-disorder,04:00:00,city-park
296666,theft-from-motor-vehicle,16:00:00,five-points
12771,all-other-crimes,04:00:00,cheesman-park
511489,all-other-crimes,04:00:00,five-points
477043,sexual-assault,20:00:00,highland
351746,drug-alcohol,16:00:00,stapleton
275394,sexual-assault,12:00:00,city-park-west
111021,public-disorder,04:00:00,college-view-south-platte
339125,public-disorder,20:00:00,north-park-hill
142006,other-crimes-against-persons,12:00:00,cbd
54273,larceny,16:00:00,hampden-south
340523,aggravated-assault,23:59:00,westwood
516744,all-other-crimes,04:00:00,country-club
320844,larceny,16:00:00,valverde
239431,auto-theft,20:00:00,globeville
43536,auto-theft,20:00:00,highland
434570,all-other-crimes,23:59:00,valverde
272557,other-crimes-against-persons,04:00:00,congress-park
90288,white-collar-crime,16:00:00,cbd
331334,all-other-crimes,23:59:00,east-colfax
80003,larceny,12:00:00,stapleton
101634,burglary,16:00:00,westwood
352934,all-other-crimes,04:00:00,lincoln-park
490807,larceny,16:00:00,stapleton
396193,all-other-crimes,20:00:00,virginia-village
161886,all-other-crimes,04:00:00,lincoln-park
162997,auto-theft,20:00:00,lincoln-park
388507,larceny,16:00:00,west-colfax
340686,theft-from-motor-vehicle,12:00:00,baker
284818,burglary,12:00:00,hampden-south
266732,drug-alcohol,23:59:00,globeville
39585,all-other-crimes,12:00:00,dia
234224,public-disorder,12:00:00,stapleton
