,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
209093,theft-from-motor-vehicle,20:00:00,capitol-hill
522453,burglary,08:00:00,gateway-green-valley-ranch
458795,white-collar-crime,12:00:00,washington-virginia-vale
145912,all-other-crimes,23:59:00,five-points
20922,public-disorder,23:59:00,northeast-park-hill
343238,all-other-crimes,08:00:00,westwood
349831,other-crimes-against-persons,04:00:00,windsor
316751,theft-from-motor-vehicle,16:00:00,baker
467120,other-crimes-against-persons,23:59:00,capitol-hill
308881,larceny,04:00:00,harvey-park
334580,all-other-crimes,16:00:00,civic-center
377695,all-other-crimes,20:00:00,north-capitol-hill
399645,public-disorder,16:00:00,westwood
260404,public-disorder,12:00:00,globeville
483565,all-other-crimes,20:00:00,sun-valley
259165,aggravated-assault,16:00:00,montbello
370810,drug-alcohol,16:00:00,washington-park
304866,larceny,04:00:00,city-park-west
67149,all-other-crimes,20:00:00,northeast-park-hill
408235,theft-from-motor-vehicle,16:00:00,north-capitol-hill
252541,all-other-crimes,23:59:00,sloan-lake
321435,all-other-crimes,16:00:00,kennedy
427989,public-disorder,20:00:00,skyland
173978,public-disorder,16:00:00,college-view-south-platte
3477,theft-from-motor-vehicle,23:59:00,university-park
197932,public-disorder,16:00:00,cbd
1481,all-other-crimes,20:00:00,northeast-park-hill
293797,auto-theft,08:00:00,hampden-south
437909,sexual-assault,23:59:00,berkeley
58216,theft-from-motor-vehicle,20:00:00,five-points
496020,all-other-crimes,12:00:00,sloan-lake
298703,theft-from-motor-vehicle,20:00:00,harvey-park
467452,theft-from-motor-vehicle,16:00:00,north-capitol-hill
205550,drug-alcohol,23:59:00,five-points
254831,auto-theft,20:00:00,bear-valley
49977,theft-from-motor-vehicle,12:00:00,five-points
421967,all-other-crimes,20:00:00,sunnyside
169714,burglary,08:00:00,hampden
510788,auto-theft,23:59:00,university
390179,larceny,12:00:00,globeville
212327,other-crimes-against-persons,23:59:00,lowry-field
318678,all-other-crimes,04:00:00,ruby-hill
162783,auto-theft,04:00:00,villa-park
428826,theft-from-motor-vehicle,16:00:00,congress-park
509605,larceny,16:00:00,cbd
304766,theft-from-motor-vehicle,20:00:00,east-colfax
371661,public-disorder,23:59:00,cherry-creek
385017,drug-alcohol,20:00:00,cheesman-park
157268,drug-alcohol,20:00:00,globeville
449066,all-other-crimes,04:00:00,college-view-south-platte
443356,theft-from-motor-vehicle,12:00:00,capitol-hill
148801,other-crimes-against-persons,20:00:00,harvey-park-south
81453,burglary,08:00:00,gateway-green-valley-ranch
18107,drug-alcohol,20:00:00,athmar-park
73756,drug-alcohol,16:00:00,regis
231209,larceny,16:00:00,northeast-park-hill
34885,theft-from-motor-vehicle,12:00:00,university-hills
139866,theft-from-motor-vehicle,12:00:00,sunnyside
8430,white-collar-crime,12:00:00,union-station
131469,all-other-crimes,04:00:00,valverde
507465,theft-from-motor-vehicle,16:00:00,virginia-village
176616,theft-from-motor-vehicle,04:00:00,gateway-green-valley-ranch
194329,public-disorder,04:00:00,east-colfax
500431,theft-from-motor-vehicle,04:00:00,westwood
483832,all-other-crimes,20:00:00,congress-park
129195,all-other-crimes,16:00:00,skyland
253582,auto-theft,23:59:00,sunnyside
159854,theft-from-motor-vehicle,08:00:00,athmar-park
431138,theft-from-motor-vehicle,04:00:00,marston
206949,all-other-crimes,23:59:00,barnum-west
315631,theft-from-motor-vehicle,20:00:00,five-points
481382,drug-alcohol,23:59:00,sun-valley
476314,drug-alcohol,16:00:00,cole
387220,all-other-crimes,20:00:00,westwood
439752,all-other-crimes,23:59:00,goldsmith
131561,other-crimes-against-persons,16:00:00,cbd
33243,all-other-crimes,04:00:00,civic-center
65680,burglary,08:00:00,cory-merrill
201475,all-other-crimes,20:00:00,south-park-hill
381493,auto-theft,20:00:00,stapleton
