,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
48196,burglary,16:00:00,hampden-south
500275,public-disorder,20:00:00,five-points
404430,public-disorder,23:59:00,windsor
427767,public-disorder,08:00:00,ruby-hill
413753,all-other-crimes,20:00:00,mar-lee
356372,burglary,08:00:00,gateway-green-valley-ranch
436501,drug-alcohol,20:00:00,cheesman-park
273257,larceny,04:00:00,congress-park
368734,larceny,16:00:00,east-colfax
11814,drug-alcohol,12:00:00,civic-center
193086,public-disorder,04:00:00,barnum
197299,burglary,12:00:00,westwood
409527,public-disorder,23:59:00,five-points
291521,larceny,04:00:00,capitol-hill
129480,all-other-crimes,20:00:00,marston
71347,all-other-crimes,04:00:00,hampden-south
353656,other-crimes-against-persons,12:00:00,elyria-swansea
395763,public-disorder,20:00:00,montbello
113390,larceny,04:00:00,stapleton
291899,all-other-crimes,23:59:00,westwood
269837,drug-alcohol,04:00:00,east-colfax
32987,other-crimes-against-persons,04:00:00,five-points
494831,other-crimes-against-persons,12:00:00,barnum-west
461027,larceny,20:00:00,mar-lee
304223,public-disorder,23:59:00,montbello
109705,all-other-crimes,23:59:00,west-colfax
43785,burglary,04:00:00,capitol-hill
69301,burglary,04:00:00,baker
355395,auto-theft,23:59:00,montbello
204884,drug-alcohol,04:00:00,south-park-hill
10056,all-other-crimes,04:00:00,lincoln-park
385146,public-disorder,16:00:00,capitol-hill
130634,larceny,20:00:00,five-points
2476,larceny,23:59:00,union-station
256344,burglary,04:00:00,college-view-south-platte
507689,theft-from-motor-vehicle,08:00:00,overland
104140,drug-alcohol,23:59:00,north-capitol-hill
30717,theft-from-motor-vehicle,16:00:00,montbello
420137,public-disorder,04:00:00,goldsmith
495309,all-other-crimes,23:59:00,montbello
89143,theft-from-motor-vehicle,20:00:00,marston
311577,drug-alcohol,20:00:00,lincoln-park
216725,theft-from-motor-vehicle,16:00:00,montbello
172305,larceny,08:00:00,speer
319426,auto-theft,16:00:00,hampden
375284,all-other-crimes,16:00:00,sun-valley
378771,public-disorder,23:59:00,sun-valley
218236,larceny,20:00:00,west-colfax
206601,all-other-crimes,04:00:00,harvey-park
486906,larceny,16:00:00,five-points
64292,larceny,23:59:00,cory-merrill
198934,auto-theft,23:59:00,east-colfax
510331,public-disorder,04:00:00,montbello
319928,auto-theft,04:00:00,west-colfax
181890,theft-from-motor-vehicle,20:00:00,union-station
408828,all-other-crimes,04:00:00,cbd
69992,white-collar-crime,23:59:00,washington-park-west
498662,public-disorder,16:00:00,university
67988,all-other-crimes,23:59:00,stapleton
303360,public-disorder,04:00:00,congress-park
223121,public-disorder,04:00:00,civic-center
169812,public-disorder,20:00:00,villa-park
484797,all-other-crimes,04:00:00,barnum
73414,other-crimes-against-persons,04:00:00,montclair
71309,all-other-crimes,12:00:00,cbd
321346,robbery,04:00:00,cole
437051,public-disorder,04:00:00,montbello
363491,other-crimes-against-persons,04:00:00,speer
179745,drug-alcohol,04:00:00,five-points
493825,auto-theft,23:59:00,globeville
518923,larceny,16:00:00,five-points
336416,all-other-crimes,04:00:00,sloan-lake
367186,theft-from-motor-vehicle,04:00:00,baker
139038,theft-from-motor-vehicle,23:59:00,whittier
289058,all-other-crimes,23:59:00,college-view-south-platte
358734,all-other-crimes,23:59:00,villa-park
285918,sexual-assault,04:00:00,elyria-swansea
16482,all-other-crimes,16:00:00,westwood
527899,public-disorder,23:59:00,northeast-park-hill
253809,larceny,16:00:00,baker
12144,auto-theft,23:59:00,city-park
264684,larceny,16:00:00,dia
106595,public-disorder,23:59:00,speer
436765,larceny,23:59:00,college-view-south-platte
440330,theft-from-motor-vehicle,16:00:00,union-station
291461,all-other-crimes,23:59:00,west-colfax
149344,white-collar-crime,08:00:00,cbd
458276,larceny,23:59:00,washington-virginia-vale
449801,theft-from-motor-vehicle,20:00:00,marston
203234,other-crimes-against-persons,12:00:00,civic-center
288251,all-other-crimes,04:00:00,capitol-hill
85324,larceny,12:00:00,lowry-field
303204,public-disorder,04:00:00,union-station
232263,drug-alcohol,04:00:00,city-park-west
15304,public-disorder,04:00:00,montclair
232708,larceny,20:00:00,hale
129379,aggravated-assault,20:00:00,athmar-park
319716,larceny,08:00:00,cherry-creek
412874,robbery,20:00:00,civic-center
252111,auto-theft,23:59:00,gateway-green-valley-ranch
353318,larceny,12:00:00,kennedy
34325,other-crimes-against-persons,23:59:00,five-points
154173,burglary,20:00:00,baker
296765,all-other-crimes,20:00:00,platt-park
363340,larceny,16:00:00,union-station
1143,drug-alcohol,20:00:00,capitol-hill
91886,auto-theft,23:59:00,city-park
6027,white-collar-crime,23:59:00,university-park
373921,all-other-crimes,20:00:00,union-station
431893,other-crimes-against-persons,04:00:00,capitol-hill
449786,public-disorder,16:00:00,valverde
116345,auto-theft,16:00:00,washington-park-west
92663,theft-from-motor-vehicle,04:00:00,stapleton
464325,all-other-crimes,04:00:00,sunnyside
346051,all-other-crimes,23:59:00,university-hills
500388,all-other-crimes,23:59:00,civic-center
2214,theft-from-motor-vehicle,20:00:00,speer
254877,larceny,12:00:00,five-points
408418,all-other-crimes,20:00:00,college-view-south-platte
233177,drug-alcohol,16:00:00,east-colfax
460045,all-other-crimes,08:00:00,athmar-park
