,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
309355,larceny,16:00:00,montclair
475121,all-other-crimes,12:00:00,barnum-west
7727,drug-alcohol,12:00:00,north-capitol-hill
280960,burglary,12:00:00,hale
361989,theft-from-motor-vehicle,23:59:00,west-colfax
43914,aggravated-assault,08:00:00,five-points
88778,theft-from-motor-vehicle,12:00:00,washington-park-west
357738,all-other-crimes,20:00:00,west-colfax
61295,other-crimes-against-persons,16:00:00,college-view-south-platte
370535,burglary,20:00:00,lincoln-park
206118,public-disorder,23:59:00,overland
495833,larceny,16:00:00,capitol-hill
267908,all-other-crimes,04:00:00,north-capitol-hill
358428,auto-theft,04:00:00,baker
32451,other-crimes-against-persons,04:00:00,skyland
405797,other-crimes-against-persons,04:00:00,gateway-green-valley-ranch
170739,other-crimes-against-persons,20:00:00,lowry-field
82807,public-disorder,16:00:00,east-colfax
339188,burglary,12:00:00,elyria-swansea
512983,public-disorder,23:59:00,hampden
53159,auto-theft,12:00:00,stapleton
243667,theft-from-motor-vehicle,16:00:00,villa-park
360025,larceny,12:00:00,lincoln-park
493769,drug-alcohol,16:00:00,northeast-park-hill
289361,public-disorder,16:00:00,hampden
333971,all-other-crimes,23:59:00,athmar-park
56592,all-other-crimes,08:00:00,ruby-hill
112664,all-other-crimes,16:00:00,valverde
347823,theft-from-motor-vehicle,23:59:00,westwood
92972,auto-theft,08:00:00,platt-park
54809,larceny,16:00:00,north-park-hill
83113,drug-alcohol,23:59:00,university-hills
20462,larceny,16:00:00,civic-center
169252,all-other-crimes,20:00:00,valverde
228258,drug-alcohol,16:00:00,union-station
441812,public-disorder,08:00:00,university-hills
126720,theft-from-motor-vehicle,08:00:00,washington-virginia-vale
381503,burglary,08:00:00,highland
473124,all-other-crimes,04:00:00,washington-virginia-vale
244125,public-disorder,20:00:00,west-colfax
182021,theft-from-motor-vehicle,04:00:00,goldsmith
156711,burglary,12:00:00,athmar-park
172019,all-other-crimes,23:59:00,athmar-park
279828,larceny,08:00:00,skyland
86965,public-disorder,23:59:00,montbello
469049,robbery,12:00:00,sun-valley
292107,public-disorder,20:00:00,union-station
136193,theft-from-motor-vehicle,20:00:00,sloan-lake
327618,auto-theft,20:00:00,jefferson-park
203860,burglary,04:00:00,west-colfax
517754,sexual-assault,20:00:00,goldsmith
89146,theft-from-motor-vehicle,20:00:00,bear-valley
481857,larceny,04:00:00,five-points
218779,all-other-crimes,20:00:00,cbd
217724,drug-alcohol,23:59:00,stapleton
197326,other-crimes-against-persons,04:00:00,windsor
266635,other-crimes-against-persons,04:00:00,capitol-hill
104611,sexual-assault,12:00:00,wellshire
378904,all-other-crimes,23:59:00,regis
86796,all-other-crimes,04:00:00,berkeley
266356,all-other-crimes,04:00:00,civic-center
31020,all-other-crimes,23:59:00,union-station
234747,larceny,08:00:00,sunnyside
442807,larceny,20:00:00,auraria
480304,public-disorder,08:00:00,barnum
209924,robbery,20:00:00,highland
350653,other-crimes-against-persons,20:00:00,university-park
11332,other-crimes-against-persons,20:00:00,stapleton
449178,all-other-crimes,04:00:00,sunnyside
260186,all-other-crimes,08:00:00,hampden-south
355792,larceny,20:00:00,five-points
354192,drug-alcohol,20:00:00,sunnyside
311450,other-crimes-against-persons,04:00:00,five-points
101365,public-disorder,23:59:00,marston
456619,burglary,23:59:00,union-station
262323,theft-from-motor-vehicle,12:00:00,harvey-park-south
327268,larceny,12:00:00,auraria
236331,other-crimes-against-persons,20:00:00,union-station
280320,auto-theft,20:00:00,five-points
474954,all-other-crimes,04:00:00,sunnyside
406193,theft-from-motor-vehicle,20:00:00,washington-park-west
247103,burglary,04:00:00,overland
361007,all-other-crimes,04:00:00,washington-virginia-vale
302747,aggravated-assault,12:00:00,overland
516715,aggravated-assault,23:59:00,capitol-hill
452954,public-disorder,04:00:00,cbd
498085,aggravated-assault,04:00:00,cbd
72473,larceny,16:00:00,lowry-field
130567,larceny,08:00:00,city-park-west
181718,larceny,16:00:00,congress-park
267407,larceny,20:00:00,mar-lee
179130,auto-theft,20:00:00,washington-park-west
380271,other-crimes-against-persons,04:00:00,speer
379096,burglary,04:00:00,country-club
160974,arson,04:00:00,cheesman-park
87392,public-disorder,04:00:00,union-station
511186,all-other-crimes,04:00:00,five-points
125007,other-crimes-against-persons,16:00:00,capitol-hill
172491,burglary,23:59:00,speer
232086,all-other-crimes,04:00:00,jefferson-park
73332,public-disorder,20:00:00,virginia-village
356365,all-other-crimes,23:59:00,harvey-park
62239,other-crimes-against-persons,20:00:00,west-colfax
96162,all-other-crimes,04:00:00,montbello
179277,larceny,04:00:00,harvey-park
128508,white-collar-crime,20:00:00,cbd
73594,all-other-crimes,23:59:00,chaffee-park
123630,auto-theft,23:59:00,washington-park
97759,all-other-crimes,16:00:00,five-points
113677,all-other-crimes,12:00:00,east-colfax
306883,larceny,16:00:00,regis
86167,other-crimes-against-persons,23:59:00,university-hills
452127,all-other-crimes,12:00:00,hampden
173483,larceny,23:59:00,hilltop
317440,aggravated-assault,12:00:00,north-capitol-hill
265129,white-collar-crime,04:00:00,mar-lee
108305,other-crimes-against-persons,23:59:00,harvey-park
373423,all-other-crimes,04:00:00,hampden
6435,public-disorder,23:59:00,westwood
32080,theft-from-motor-vehicle,04:00:00,washington-park
462427,all-other-crimes,16:00:00,overland
66497,burglary,04:00:00,barnum
101600,burglary,12:00:00,sloan-lake
510826,aggravated-assault,04:00:00,cbd
62945,public-disorder,12:00:00,gateway-green-valley-ranch
418246,burglary,12:00:00,sunnyside
440109,auto-theft,16:00:00,cherry-creek
