,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
252452,public-disorder,16:00:00,harvey-park
220259,theft-from-motor-vehicle,08:00:00,washington-virginia-vale
413262,public-disorder,12:00:00,harvey-park-south
144270,theft-from-motor-vehicle,04:00:00,washington-virginia-vale
384171,burglary,16:00:00,virginia-village
43883,drug-alcohol,16:00:00,west-colfax
526696,all-other-crimes,16:00:00,athmar-park
118389,white-collar-crime,04:00:00,montbello
350733,other-crimes-against-persons,20:00:00,barnum
14563,all-other-crimes,20:00:00,congress-park
195659,all-other-crimes,16:00:00,east-colfax
23016,theft-from-motor-vehicle,08:00:00,cole
188579,sexual-assault,16:00:00,northeast-park-hill
372998,theft-from-motor-vehicle,23:59:00,washington-park
357442,larceny,20:00:00,north-capitol-hill
435086,drug-alcohol,20:00:00,capitol-hill
464654,other-crimes-against-persons,20:00:00,cherry-creek
229285,public-disorder,23:59:00,highland
375379,all-other-crimes,23:59:00,cbd
30045,larceny,16:00:00,lowry-field
352462,drug-alcohol,23:59:00,east-colfax
326229,burglary,20:00:00,ruby-hill
162128,drug-alcohol,23:59:00,east-colfax
18933,drug-alcohol,16:00:00,east-colfax
416164,larceny,04:00:00,dia
146323,all-other-crimes,16:00:00,overland
264786,larceny,16:00:00,stapleton
178961,drug-alcohol,04:00:00,stapleton
23756,white-collar-crime,12:00:00,barnum
349587,public-disorder,08:00:00,gateway-green-valley-ranch
494366,all-other-crimes,20:00:00,east-colfax
175116,burglary,16:00:00,stapleton
432941,aggravated-assault,12:00:00,villa-park
296994,theft-from-motor-vehicle,20:00:00,five-points
231280,all-other-crimes,04:00:00,east-colfax
498829,auto-theft,23:59:00,gateway-green-valley-ranch
3110,all-other-crimes,20:00:00,montbello
78268,public-disorder,23:59:00,south-park-hill
44427,other-crimes-against-persons,12:00:00,civic-center
447432,drug-alcohol,12:00:00,lincoln-park
398384,public-disorder,04:00:00,north-capitol-hill
509575,other-crimes-against-persons,08:00:00,washington-virginia-vale
120774,robbery,20:00:00,sloan-lake
345078,all-other-crimes,20:00:00,cbd
11049,all-other-crimes,04:00:00,city-park-west
442267,drug-alcohol,12:00:00,city-park-west
405045,all-other-crimes,20:00:00,cbd
435932,aggravated-assault,04:00:00,goldsmith
14778,public-disorder,23:59:00,west-colfax
241888,theft-from-motor-vehicle,16:00:00,valverde
207036,all-other-crimes,16:00:00,virginia-village
307231,white-collar-crime,04:00:00,berkeley
277214,aggravated-assault,12:00:00,westwood
91794,larceny,04:00:00,hampden
483242,larceny,12:00:00,cbd
329468,other-crimes-against-persons,16:00:00,capitol-hill
523821,all-other-crimes,20:00:00,baker
489801,all-other-crimes,04:00:00,auraria
248834,larceny,08:00:00,berkeley
514974,all-other-crimes,20:00:00,cbd
328208,other-crimes-against-persons,20:00:00,cbd
115953,theft-from-motor-vehicle,04:00:00,westwood
13668,larceny,12:00:00,cheesman-park
126371,sexual-assault,23:59:00,globeville
144857,other-crimes-against-persons,20:00:00,northeast-park-hill
481726,auto-theft,12:00:00,dia
82728,burglary,12:00:00,villa-park
307756,public-disorder,12:00:00,westwood
301350,public-disorder,20:00:00,college-view-south-platte
33460,all-other-crimes,12:00:00,civic-center
413131,theft-from-motor-vehicle,12:00:00,villa-park
43513,all-other-crimes,20:00:00,cbd
290199,drug-alcohol,20:00:00,cbd
18664,drug-alcohol,16:00:00,five-points
397660,all-other-crimes,20:00:00,stapleton
346941,all-other-crimes,23:59:00,athmar-park
94898,all-other-crimes,16:00:00,lincoln-park
457193,public-disorder,20:00:00,montbello
377419,all-other-crimes,20:00:00,hampden
254649,burglary,04:00:00,westwood
435728,white-collar-crime,23:59:00,dia
166458,auto-theft,04:00:00,east-colfax
123520,public-disorder,20:00:00,baker
55321,larceny,20:00:00,highland
285955,all-other-crimes,20:00:00,cbd
246937,burglary,04:00:00,washington-virginia-vale
14038,drug-alcohol,16:00:00,city-park-west
298601,burglary,12:00:00,lincoln-park
232707,theft-from-motor-vehicle,20:00:00,five-points
38440,auto-theft,08:00:00,university-hills
329910,public-disorder,12:00:00,capitol-hill
392918,auto-theft,04:00:00,berkeley
40073,all-other-crimes,23:59:00,capitol-hill
31302,larceny,16:00:00,college-view-south-platte
284035,all-other-crimes,16:00:00,west-colfax
484265,all-other-crimes,23:59:00,barnum-west
59004,all-other-crimes,16:00:00,montbello
287231,burglary,12:00:00,speer
83114,larceny,16:00:00,harvey-park
265773,aggravated-assault,23:59:00,college-view-south-platte
241648,theft-from-motor-vehicle,23:59:00,city-park-west
162108,all-other-crimes,23:59:00,westwood
240396,public-disorder,20:00:00,stapleton
23951,all-other-crimes,23:59:00,capitol-hill
96233,robbery,20:00:00,cory-merrill
136718,larceny,16:00:00,stapleton
461043,larceny,20:00:00,union-station
78057,all-other-crimes,23:59:00,barnum
232812,all-other-crimes,16:00:00,civic-center
484282,public-disorder,23:59:00,valverde
59957,auto-theft,08:00:00,dia
122307,public-disorder,16:00:00,northeast-park-hill
239162,auto-theft,20:00:00,globeville
468327,auto-theft,23:59:00,globeville
417055,all-other-crimes,08:00:00,cbd
367314,all-other-crimes,20:00:00,platt-park
267950,drug-alcohol,16:00:00,capitol-hill
500400,auto-theft,23:59:00,berkeley
343547,all-other-crimes,04:00:00,union-station
190958,public-disorder,16:00:00,capitol-hill
186356,theft-from-motor-vehicle,16:00:00,valverde
286406,all-other-crimes,16:00:00,city-park
472781,larceny,20:00:00,baker
357424,larceny,20:00:00,belcaro
208902,other-crimes-against-persons,12:00:00,gateway-green-valley-ranch
225378,all-other-crimes,20:00:00,cbd
5171,larceny,16:00:00,dia
492825,all-other-crimes,16:00:00,auraria
377679,drug-alcohol,16:00:00,regis
246349,burglary,23:59:00,auraria
230956,all-other-crimes,16:00:00,montbello
179837,larceny,12:00:00,dia
435120,public-disorder,08:00:00,city-park-west
213776,burglary,12:00:00,chaffee-park
457379,larceny,12:00:00,stapleton
265212,auto-theft,04:00:00,capitol-hill
257015,auto-theft,08:00:00,washington-park
151027,all-other-crimes,23:59:00,villa-park
406911,aggravated-assault,08:00:00,union-station
76558,larceny,20:00:00,westwood
325986,robbery,23:59:00,capitol-hill
420983,white-collar-crime,16:00:00,bear-valley
479082,drug-alcohol,16:00:00,congress-park
364672,larceny,16:00:00,globeville
