,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
229334,drug-alcohol,16:00:00,harvey-park
317883,theft-from-motor-vehicle,16:00:00,globeville
456909,public-disorder,23:59:00,west-colfax
85601,drug-alcohol,12:00:00,harvey-park-south
247336,drug-alcohol,20:00:00,sunnyside
352212,all-other-crimes,16:00:00,goldsmith
163229,drug-alcohol,16:00:00,barnum-west
136157,all-other-crimes,12:00:00,globeville
132885,all-other-crimes,12:00:00,east-colfax
372422,public-disorder,12:00:00,five-points
135021,all-other-crimes,20:00:00,harvey-park-south
358267,all-other-crimes,04:00:00,washington-park-west
326650,all-other-crimes,08:00:00,north-park-hill
327632,all-other-crimes,12:00:00,platt-park
357535,murder,08:00:00,stapleton
206834,all-other-crimes,16:00:00,stapleton
83984,public-disorder,23:59:00,southmoor-park
298138,larceny,16:00:00,gateway-green-valley-ranch
89936,public-disorder,20:00:00,baker
298898,larceny,16:00:00,baker
53121,drug-alcohol,16:00:00,east-colfax
314650,all-other-crimes,04:00:00,city-park-west
99234,all-other-crimes,23:59:00,west-colfax
85186,all-other-crimes,04:00:00,civic-center
145738,larceny,08:00:00,hampden-south
275808,burglary,12:00:00,belcaro
499158,public-disorder,12:00:00,southmoor-park
474745,larceny,20:00:00,union-station
303361,public-disorder,16:00:00,washington-park-west
150882,all-other-crimes,20:00:00,westwood
342635,all-other-crimes,12:00:00,sunnyside
393692,larceny,16:00:00,capitol-hill
286672,larceny,08:00:00,stapleton
423737,public-disorder,16:00:00,west-colfax
268682,larceny,12:00:00,sun-valley
324840,white-collar-crime,04:00:00,east-colfax
77863,theft-from-motor-vehicle,12:00:00,congress-park
465905,all-other-crimes,16:00:00,north-park-hill
82057,all-other-crimes,04:00:00,lincoln-park
215644,burglary,12:00:00,chaffee-park
439288,auto-theft,23:59:00,speer
175590,public-disorder,12:00:00,west-colfax
196086,drug-alcohol,20:00:00,cheesman-park
162956,public-disorder,23:59:00,harvey-park-south
224670,theft-from-motor-vehicle,04:00:00,union-station
368625,drug-alcohol,16:00:00,stapleton
231360,all-other-crimes,23:59:00,five-points
205146,auto-theft,12:00:00,lincoln-park
25378,sexual-assault,20:00:00,cheesman-park
132355,auto-theft,20:00:00,cole
435456,burglary,20:00:00,university
212179,larceny,20:00:00,auraria
115845,larceny,12:00:00,five-points
230298,public-disorder,04:00:00,montbello
469515,theft-from-motor-vehicle,23:59:00,villa-park
19733,all-other-crimes,20:00:00,montbello
3314,public-disorder,20:00:00,montbello
139453,drug-alcohol,20:00:00,five-points
425031,other-crimes-against-persons,20:00:00,ruby-hill
469323,drug-alcohol,12:00:00,east-colfax
296172,theft-from-motor-vehicle,16:00:00,south-park-hill
329938,burglary,23:59:00,regis
90480,other-crimes-against-persons,04:00:00,college-view-south-platte
354872,drug-alcohol,20:00:00,highland
284600,auto-theft,23:59:00,north-park-hill
86032,larceny,12:00:00,lowry-field
233497,burglary,16:00:00,university-park
296171,public-disorder,23:59:00,virginia-village
295547,drug-alcohol,04:00:00,baker
420654,larceny,16:00:00,cherry-creek
250636,larceny,23:59:00,lowry-field
77231,all-other-crimes,16:00:00,southmoor-park
502139,theft-from-motor-vehicle,12:00:00,montbello
471662,other-crimes-against-persons,23:59:00,northeast-park-hill
321780,burglary,12:00:00,villa-park
283335,all-other-crimes,16:00:00,cheesman-park
490907,theft-from-motor-vehicle,20:00:00,hale
456396,aggravated-assault,20:00:00,west-colfax
477,drug-alcohol,16:00:00,wellshire
104233,aggravated-assault,20:00:00,northeast-park-hill
193939,public-disorder,16:00:00,gateway-green-valley-ranch
135319,public-disorder,20:00:00,lincoln-park
113044,larceny,20:00:00,jefferson-park
194024,all-other-crimes,04:00:00,speer
195106,all-other-crimes,23:59:00,east-colfax
61214,drug-alcohol,20:00:00,cheesman-park
111498,aggravated-assault,23:59:00,gateway-green-valley-ranch
