,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
194231,drug-alcohol,16:00:00,north-capitol-hill
328958,larceny,12:00:00,speer
466929,burglary,12:00:00,montclair
456420,theft-from-motor-vehicle,23:59:00,east-colfax
372246,larceny,20:00:00,berkeley
333978,burglary,20:00:00,washington-virginia-vale
394349,public-disorder,23:59:00,hampden-south
444374,all-other-crimes,04:00:00,west-colfax
469466,larceny,23:59:00,globeville
350778,public-disorder,23:59:00,northeast-park-hill
460331,theft-from-motor-vehicle,04:00:00,cole
474208,public-disorder,04:00:00,cole
139893,all-other-crimes,23:59:00,skyland
114033,all-other-crimes,20:00:00,barnum
118310,drug-alcohol,12:00:00,washington-park
229446,public-disorder,23:59:00,marston
145170,larceny,20:00:00,north-capitol-hill
402522,public-disorder,12:00:00,north-park-hill
233111,robbery,04:00:00,capitol-hill
190094,theft-from-motor-vehicle,23:59:00,platt-park
123191,all-other-crimes,20:00:00,union-station
51829,all-other-crimes,20:00:00,highland
581,sexual-assault,12:00:00,montbello
465876,theft-from-motor-vehicle,20:00:00,stapleton
413849,drug-alcohol,23:59:00,south-park-hill
36513,larceny,20:00:00,cherry-creek
527690,public-disorder,16:00:00,east-colfax
348614,all-other-crimes,23:59:00,cbd
363258,arson,20:00:00,sun-valley
264957,burglary,12:00:00,hampden
335370,drug-alcohol,16:00:00,capitol-hill
189764,burglary,12:00:00,speer
443337,all-other-crimes,20:00:00,gateway-green-valley-ranch
139052,aggravated-assault,20:00:00,northeast-park-hill
307835,drug-alcohol,16:00:00,civic-center
299733,all-other-crimes,23:59:00,north-capitol-hill
221299,all-other-crimes,20:00:00,whittier
165616,auto-theft,16:00:00,cherry-creek
512288,all-other-crimes,12:00:00,cbd
123965,auto-theft,20:00:00,jefferson-park
404501,public-disorder,04:00:00,virginia-village
228962,public-disorder,20:00:00,kennedy
75833,auto-theft,20:00:00,highland
309109,drug-alcohol,20:00:00,city-park-west
152138,burglary,20:00:00,lincoln-park
340286,all-other-crimes,12:00:00,globeville
50063,robbery,20:00:00,westwood
78354,public-disorder,12:00:00,gateway-green-valley-ranch
175815,theft-from-motor-vehicle,04:00:00,clayton
356084,auto-theft,20:00:00,jefferson-park
219786,all-other-crimes,20:00:00,elyria-swansea
245147,drug-alcohol,23:59:00,auraria
11955,larceny,12:00:00,washington-virginia-vale
297167,auto-theft,20:00:00,union-station
126164,drug-alcohol,16:00:00,stapleton
35137,public-disorder,04:00:00,west-colfax
126243,all-other-crimes,16:00:00,montclair
396585,public-disorder,20:00:00,speer
6414,drug-alcohol,20:00:00,stapleton
117937,all-other-crimes,16:00:00,auraria
374277,larceny,08:00:00,union-station
317624,auto-theft,12:00:00,hampden
411475,drug-alcohol,20:00:00,gateway-green-valley-ranch
327364,public-disorder,16:00:00,westwood
468946,public-disorder,12:00:00,platt-park
189503,larceny,20:00:00,harvey-park-south
269475,public-disorder,23:59:00,northeast-park-hill
2539,larceny,08:00:00,highland
461161,burglary,12:00:00,cherry-creek
391588,other-crimes-against-persons,12:00:00,northeast-park-hill
348897,auto-theft,04:00:00,montbello
342991,larceny,12:00:00,west-colfax
194027,drug-alcohol,20:00:00,overland
421196,all-other-crimes,23:59:00,baker
328797,all-other-crimes,20:00:00,north-park-hill
156790,all-other-crimes,08:00:00,mar-lee
513336,all-other-crimes,12:00:00,globeville
337932,larceny,20:00:00,montclair
421880,all-other-crimes,08:00:00,lincoln-park
470916,theft-from-motor-vehicle,04:00:00,gateway-green-valley-ranch
39070,all-other-crimes,04:00:00,baker
347923,burglary,08:00:00,barnum
330118,all-other-crimes,20:00:00,westwood
527353,other-crimes-against-persons,23:59:00,westwood
292631,public-disorder,20:00:00,mar-lee
316707,other-crimes-against-persons,12:00:00,north-park-hill
359025,theft-from-motor-vehicle,04:00:00,congress-park
448405,all-other-crimes,08:00:00,stapleton
33780,theft-from-motor-vehicle,23:59:00,belcaro
244622,public-disorder,20:00:00,city-park
392572,theft-from-motor-vehicle,20:00:00,five-points
309633,larceny,12:00:00,cheesman-park
508248,larceny,12:00:00,stapleton
398518,robbery,12:00:00,hampden-south
107558,theft-from-motor-vehicle,20:00:00,villa-park
379981,drug-alcohol,20:00:00,baker
504381,all-other-crimes,23:59:00,harvey-park
515778,larceny,12:00:00,hampden-south
296169,theft-from-motor-vehicle,12:00:00,virginia-village
294981,all-other-crimes,20:00:00,east-colfax
384761,drug-alcohol,23:59:00,valverde
64652,larceny,20:00:00,cbd
207699,all-other-crimes,04:00:00,congress-park
509644,public-disorder,12:00:00,five-points
462805,larceny,20:00:00,south-park-hill
332884,larceny,16:00:00,stapleton
111232,theft-from-motor-vehicle,12:00:00,sloan-lake
362066,public-disorder,16:00:00,westwood
507806,larceny,08:00:00,stapleton
135605,auto-theft,04:00:00,windsor
177249,burglary,08:00:00,montbello
12870,burglary,16:00:00,civic-center
398011,all-other-crimes,16:00:00,athmar-park
489305,larceny,08:00:00,north-capitol-hill
63771,robbery,23:59:00,goldsmith
76977,public-disorder,12:00:00,wellshire
333519,all-other-crimes,04:00:00,speer
113896,theft-from-motor-vehicle,16:00:00,elyria-swansea
104263,all-other-crimes,04:00:00,globeville
382246,all-other-crimes,04:00:00,valverde
517598,all-other-crimes,20:00:00,stapleton
302351,all-other-crimes,12:00:00,cbd
473323,theft-from-motor-vehicle,16:00:00,cheesman-park
2801,all-other-crimes,12:00:00,harvey-park-south
249229,all-other-crimes,08:00:00,speer
344996,all-other-crimes,20:00:00,ruby-hill
25415,public-disorder,23:59:00,east-colfax
429238,auto-theft,16:00:00,westwood
88710,public-disorder,12:00:00,cherry-creek
467271,larceny,08:00:00,mar-lee
204413,public-disorder,23:59:00,montbello
64134,robbery,04:00:00,montbello
321134,other-crimes-against-persons,08:00:00,five-points
292094,public-disorder,12:00:00,city-park-west
74077,all-other-crimes,04:00:00,elyria-swansea
48272,larceny,23:59:00,lowry-field
367307,burglary,20:00:00,fort-logan
192608,sexual-assault,23:59:00,union-station
485391,larceny,04:00:00,virginia-village
398448,larceny,12:00:00,stapleton
201589,all-other-crimes,23:59:00,city-park-west
26199,public-disorder,23:59:00,east-colfax
158936,all-other-crimes,04:00:00,west-colfax
63413,auto-theft,04:00:00,kennedy
310262,theft-from-motor-vehicle,16:00:00,college-view-south-platte
38043,theft-from-motor-vehicle,20:00:00,north-capitol-hill
355090,larceny,12:00:00,virginia-village
475808,larceny,20:00:00,cheesman-park
297681,larceny,16:00:00,civic-center
21250,public-disorder,23:59:00,auraria
208878,all-other-crimes,16:00:00,gateway-green-valley-ranch
174115,burglary,08:00:00,montbello
461257,larceny,04:00:00,university-park
138957,all-other-crimes,16:00:00,stapleton
224164,all-other-crimes,12:00:00,northeast-park-hill
182127,all-other-crimes,04:00:00,mar-lee
324673,public-disorder,16:00:00,harvey-park
165391,all-other-crimes,16:00:00,east-colfax
104518,all-other-crimes,04:00:00,westwood
410122,auto-theft,08:00:00,clayton
195040,theft-from-motor-vehicle,16:00:00,union-station
198706,drug-alcohol,12:00:00,jefferson-park
144068,theft-from-motor-vehicle,20:00:00,university
220352,drug-alcohol,04:00:00,west-colfax
366161,drug-alcohol,16:00:00,city-park-west
98848,burglary,12:00:00,congress-park
455642,drug-alcohol,16:00:00,east-colfax
527435,theft-from-motor-vehicle,20:00:00,baker
282191,all-other-crimes,20:00:00,civic-center
196410,auto-theft,20:00:00,dia
228471,public-disorder,23:59:00,ruby-hill
125535,burglary,08:00:00,hampden
319159,theft-from-motor-vehicle,12:00:00,city-park-west
120846,public-disorder,16:00:00,northeast-park-hill
445739,auto-theft,20:00:00,valverde
332877,larceny,16:00:00,washington-virginia-vale
379742,public-disorder,08:00:00,hampden
520887,larceny,20:00:00,washington-virginia-vale
348977,other-crimes-against-persons,04:00:00,capitol-hill
80388,all-other-crimes,20:00:00,cbd
297674,public-disorder,08:00:00,ruby-hill
284545,larceny,16:00:00,college-view-south-platte
286581,public-disorder,23:59:00,windsor
307597,drug-alcohol,20:00:00,cheesman-park
79487,theft-from-motor-vehicle,23:59:00,hampden
110177,drug-alcohol,20:00:00,five-points
515659,drug-alcohol,12:00:00,elyria-swansea
414267,auto-theft,08:00:00,athmar-park
13022,theft-from-motor-vehicle,20:00:00,five-points
209166,other-crimes-against-persons,16:00:00,highland
123970,all-other-crimes,20:00:00,auraria
455380,theft-from-motor-vehicle,20:00:00,wellshire
325384,public-disorder,20:00:00,globeville
289441,theft-from-motor-vehicle,04:00:00,university
318644,theft-from-motor-vehicle,16:00:00,five-points
128157,auto-theft,20:00:00,stapleton
358243,drug-alcohol,16:00:00,bear-valley
262626,public-disorder,20:00:00,montbello
326555,auto-theft,20:00:00,bear-valley
448615,burglary,08:00:00,capitol-hill
149248,burglary,08:00:00,capitol-hill
140496,public-disorder,20:00:00,baker
397843,public-disorder,20:00:00,five-points
224931,theft-from-motor-vehicle,04:00:00,barnum-west
124785,drug-alcohol,04:00:00,cbd
309442,all-other-crimes,04:00:00,five-points
502159,drug-alcohol,16:00:00,elyria-swansea
212928,all-other-crimes,16:00:00,montbello
124015,larceny,16:00:00,stapleton
105477,public-disorder,23:59:00,overland
23029,other-crimes-against-persons,16:00:00,civic-center
405162,larceny,12:00:00,college-view-south-platte
182555,all-other-crimes,08:00:00,stapleton
85577,all-other-crimes,12:00:00,rosedale
202824,burglary,23:59:00,north-capitol-hill
427142,burglary,20:00:00,cherry-creek
198790,robbery,16:00:00,globeville
222439,auto-theft,23:59:00,barnum
383984,drug-alcohol,16:00:00,north-capitol-hill
137794,burglary,04:00:00,sun-valley
484154,larceny,16:00:00,hale
474313,theft-from-motor-vehicle,20:00:00,clayton
35006,drug-alcohol,23:59:00,city-park-west
156622,theft-from-motor-vehicle,12:00:00,lowry-field
198771,public-disorder,12:00:00,north-capitol-hill
97490,auto-theft,20:00:00,mar-lee
38389,sexual-assault,23:59:00,cbd
190017,all-other-crimes,08:00:00,northeast-park-hill
180101,larceny,12:00:00,lincoln-park
472052,drug-alcohol,12:00:00,cherry-creek
180296,all-other-crimes,23:59:00,east-colfax
9358,other-crimes-against-persons,23:59:00,auraria
467549,theft-from-motor-vehicle,04:00:00,sunnyside
260793,all-other-crimes,16:00:00,washington-park-west
2776,larceny,20:00:00,five-points
459642,public-disorder,16:00:00,cbd
