,day_of_week,NEIGHBORHOOD_ID,TIME
25929,Tuesday,berkeley,16:00:00
12217,Tuesday,five-points,20:00:00
24544,Saturday,five-points,20:00:00
12210,Monday,union-station,20:00:00
32915,Wednesday,dia,16:00:00
28753,Friday,five-points,23:59:00
5980,Friday,barnum,04:00:00
20113,Sunday,east-colfax,16:00:00
14049,Monday,cbd,20:00:00
18575,Wednesday,capitol-hill,20:00:00
29594,Sunday,stapleton,23:59:00
25570,Friday,sun-valley,20:00:00
14382,Thursday,cbd,23:59:00
29051,Friday,stapleton,20:00:00
19097,Tuesday,cheesman-park,16:00:00
15676,Monday,baker,23:59:00
5500,Monday,east-colfax,08:00:00
33412,Monday,hampden-south,20:00:00
10189,Friday,college-view-south-platte,16:00:00
6998,Monday,washington-park,12:00:00
20740,Wednesday,five-points,16:00:00
31188,Friday,bear-valley,20:00:00
30106,Friday,north-capitol-hill,20:00:00
23881,Tuesday,east-colfax,23:59:00
13703,Thursday,five-points,20:00:00
29621,Tuesday,goldsmith,20:00:00
9323,Thursday,cbd,23:59:00
11840,Tuesday,clayton,20:00:00
30732,Thursday,university-park,23:59:00
800,Monday,stapleton,12:00:00
5609,Wednesday,capitol-hill,12:00:00
7754,Tuesday,lincoln-park,12:00:00
32924,Wednesday,montbello,20:00:00
23731,Tuesday,city-park-west,20:00:00
17017,Wednesday,five-points,20:00:00
27549,Monday,west-colfax,20:00:00
30654,Wednesday,five-points,20:00:00
16057,Wednesday,five-points,23:59:00
3776,Saturday,city-park-west,12:00:00
4369,Saturday,montclair,04:00:00
33130,Saturday,union-station,23:59:00
29782,Saturday,cbd,20:00:00
27424,Thursday,athmar-park,20:00:00
20760,Wednesday,five-points,20:00:00
21416,Wednesday,berkeley,16:00:00
14786,Tuesday,lincoln-park,20:00:00
25913,Thursday,westwood,23:59:00
19050,Saturday,college-view-south-platte,20:00:00
3177,Tuesday,capitol-hill,04:00:00
7876,Friday,villa-park,04:00:00
3699,Tuesday,washington-virginia-vale,04:00:00
31553,Tuesday,five-points,20:00:00
29721,Sunday,lincoln-park,20:00:00
9631,Saturday,hale,23:59:00
4764,Friday,montbello,04:00:00
674,Friday,montbello,16:00:00
20347,Thursday,capitol-hill,16:00:00
1856,Monday,college-view-south-platte,12:00:00
8523,Thursday,cbd,08:00:00
4327,Wednesday,dia,12:00:00
18616,Thursday,west-colfax,20:00:00
7469,Monday,jefferson-park,08:00:00
32355,Wednesday,goldsmith,20:00:00
5126,Wednesday,lincoln-park,12:00:00
3548,Friday,ruby-hill,04:00:00
24194,Saturday,north-capitol-hill,16:00:00
3758,Wednesday,stapleton,12:00:00
2341,Friday,university-hills,16:00:00
9092,Tuesday,sunnyside,20:00:00
23035,Wednesday,baker,20:00:00
11125,Thursday,east-colfax,20:00:00
29231,Friday,sunnyside,04:00:00
9337,Monday,capitol-hill,04:00:00
31962,Wednesday,five-points,04:00:00
22612,Wednesday,bear-valley,16:00:00
29558,Thursday,cheesman-park,20:00:00
3526,Monday,east-colfax,04:00:00
4402,Tuesday,city-park-west,04:00:00
26784,Monday,five-points,23:59:00
14374,Tuesday,westwood,16:00:00
5714,Saturday,lowry-field,16:00:00
1160,Sunday,east-colfax,04:00:00
30173,Friday,cbd,23:59:00
22237,Thursday,cheesman-park,20:00:00
15177,Thursday,speer,23:59:00
17121,Tuesday,city-park-west,20:00:00
26494,Thursday,cbd,20:00:00
18289,Wednesday,athmar-park,20:00:00
21956,Wednesday,stapleton,20:00:00
32555,Friday,montbello,16:00:00
5886,Tuesday,cbd,08:00:00
29856,Thursday,overland,16:00:00
26691,Saturday,north-capitol-hill,16:00:00
