,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LAT,GEO_LON
0,Wednesday,east-colfax,16:00:00,39.7401569,-104.8846512
1,Wednesday,sunnyside,08:00:00,39.7742797,-105.0108604
2,Wednesday,highland,12:00:00,39.7598782,-105.0229051
3,Wednesday,sunnyside,04:00:00,39.7790187,-105.0064475
4,Wednesday,sunnyside,04:00:00,39.7790187,-105.0064475
5,Tuesday,congress-park,12:00:00,39.740128999999996,-104.9406654
6,Wednesday,north-capitol-hill,04:00:00,39.7444885,-104.9870496
7,Thursday,dia,08:00:00,39.8492917,-104.6738123
8,Tuesday,cbd,04:00:00,39.7417219,-104.9890933
9,Tuesday,northeast-park-hill,04:00:00,39.7649661,-104.9038881
10,Monday,baker,12:00:00,39.7106389,-104.9888824
11,Monday,five-points,12:00:00,39.7533658,-104.9919284
12,Monday,civic-center,12:00:00,39.7397729,-104.9935737
13,Monday,north-capitol-hill,04:00:00,39.7450242,-104.98213100000001
14,Monday,clayton,08:00:00,39.7692092,-104.9498962
15,Monday,cbd,12:00:00,39.7443148,-104.9913077
16,Thursday,washington-virginia-vale,04:00:00,39.6994787,-104.9063421
17,Friday,westwood,08:00:00,39.7112514,-105.0408803
18,Thursday,city-park-west,08:00:00,39.7447184,-104.9732357
19,Thursday,civic-center,12:00:00,39.7398975,-104.987485
20,Friday,windsor,04:00:00,39.7072399,-104.8913519
21,Tuesday,berkeley,12:00:00,39.7831661,-105.0256465
22,Monday,five-points,12:00:00,39.7541882,-104.9891198
23,Monday,jefferson-park,12:00:00,39.7553989,-105.0231383
24,Tuesday,capitol-hill,12:00:00,39.7400317,-104.9730966
25,Tuesday,berkeley,12:00:00,39.7831661,-105.0256465
26,Friday,union-station,12:00:00,39.7530543,-104.9999509
27,Wednesday,jefferson-park,12:00:00,39.7556664,-105.0160408
28,Wednesday,five-points,12:00:00,39.7480841,-104.9775385
29,Wednesday,east-colfax,08:00:00,39.74015,-104.8870018
30,Wednesday,jefferson-park,12:00:00,39.7556664,-105.0160408
31,Thursday,harvey-park,04:00:00,39.6822695,-105.0250386
32,Wednesday,sunnyside,12:00:00,39.7732881,-105.006776
33,Tuesday,capitol-hill,12:00:00,39.7400317,-104.9730966
34,Wednesday,mar-lee,04:00:00,39.6912992,-105.0410286
35,Tuesday,cheesman-park,12:00:00,39.7400108,-104.9684633
36,Wednesday,harvey-park,16:00:00,39.6790878,-105.0552559
37,Tuesday,sunnyside,12:00:00,39.7806804,-105.0033794
38,Sunday,five-points,16:00:00,39.7539481,-104.9932651
