,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
467977,other-crimes-against-persons,12:00:00,west-highland
214735,burglary,20:00:00,college-view-south-platte
358731,public-disorder,23:59:00,fort-logan
172556,theft-from-motor-vehicle,23:59:00,sunnyside
6515,public-disorder,23:59:00,civic-center
3460,sexual-assault,16:00:00,hampden-south
178466,auto-theft,20:00:00,montbello
402678,larceny,20:00:00,cbd
209480,theft-from-motor-vehicle,08:00:00,montbello
191293,larceny,16:00:00,cheesman-park
171842,all-other-crimes,20:00:00,montbello
288441,public-disorder,04:00:00,sloan-lake
331881,larceny,20:00:00,cbd
103520,other-crimes-against-persons,08:00:00,south-park-hill
200531,larceny,12:00:00,cherry-creek
192836,auto-theft,23:59:00,washington-park-west
152585,drug-alcohol,23:59:00,north-capitol-hill
40471,burglary,12:00:00,west-highland
524072,theft-from-motor-vehicle,23:59:00,sunnyside
7392,theft-from-motor-vehicle,23:59:00,westwood
503429,robbery,20:00:00,hampden
415191,drug-alcohol,04:00:00,overland
491037,all-other-crimes,20:00:00,cbd
268404,auto-theft,12:00:00,kennedy
58582,drug-alcohol,12:00:00,clayton
272765,white-collar-crime,04:00:00,virginia-village
169486,public-disorder,20:00:00,cbd
54852,public-disorder,04:00:00,athmar-park
337096,auto-theft,16:00:00,washington-virginia-vale
401030,drug-alcohol,23:59:00,east-colfax
177188,burglary,12:00:00,clayton
286782,other-crimes-against-persons,23:59:00,auraria
67726,auto-theft,23:59:00,harvey-park
487284,all-other-crimes,08:00:00,cbd
12349,larceny,12:00:00,lincoln-park
518954,public-disorder,08:00:00,washington-park-west
454854,all-other-crimes,20:00:00,montbello
13572,theft-from-motor-vehicle,12:00:00,lowry-field
401143,all-other-crimes,23:59:00,windsor
200326,public-disorder,23:59:00,westwood
394556,larceny,12:00:00,five-points
352374,public-disorder,04:00:00,montbello
406403,public-disorder,16:00:00,auraria
232568,public-disorder,04:00:00,villa-park
310490,all-other-crimes,23:59:00,marston
17006,other-crimes-against-persons,12:00:00,goldsmith
132015,all-other-crimes,20:00:00,elyria-swansea
506661,drug-alcohol,12:00:00,union-station
132942,public-disorder,12:00:00,cherry-creek
268648,public-disorder,23:59:00,westwood
93235,larceny,20:00:00,cbd
487196,other-crimes-against-persons,16:00:00,windsor
143540,all-other-crimes,20:00:00,west-colfax
434243,other-crimes-against-persons,08:00:00,north-capitol-hill
101750,other-crimes-against-persons,04:00:00,whittier
465992,larceny,04:00:00,westwood
190555,burglary,16:00:00,hilltop
480918,all-other-crimes,04:00:00,elyria-swansea
145082,all-other-crimes,20:00:00,globeville
422103,larceny,20:00:00,stapleton
289894,all-other-crimes,20:00:00,montbello
496462,all-other-crimes,08:00:00,five-points
380721,other-crimes-against-persons,16:00:00,montbello
173620,drug-alcohol,23:59:00,speer
326403,all-other-crimes,16:00:00,gateway-green-valley-ranch
408437,all-other-crimes,04:00:00,ruby-hill
2430,public-disorder,16:00:00,hampden
296044,drug-alcohol,23:59:00,east-colfax
356989,all-other-crimes,23:59:00,montclair
170986,theft-from-motor-vehicle,08:00:00,hampden
484100,burglary,20:00:00,highland
329235,drug-alcohol,20:00:00,five-points
359975,white-collar-crime,08:00:00,university-park
356990,auto-theft,08:00:00,highland
396850,drug-alcohol,23:59:00,five-points
91721,public-disorder,23:59:00,ruby-hill
63314,burglary,20:00:00,hale
405402,theft-from-motor-vehicle,08:00:00,barnum
492303,all-other-crimes,04:00:00,civic-center
424940,larceny,20:00:00,marston
462610,auto-theft,23:59:00,westwood
218340,auto-theft,12:00:00,city-park-west
43533,public-disorder,08:00:00,villa-park
33549,theft-from-motor-vehicle,12:00:00,speer
67788,other-crimes-against-persons,20:00:00,cbd
523420,aggravated-assault,23:59:00,sun-valley
203363,drug-alcohol,04:00:00,auraria
309580,all-other-crimes,04:00:00,harvey-park
7056,auto-theft,23:59:00,globeville
253527,public-disorder,23:59:00,northeast-park-hill
48508,larceny,23:59:00,auraria
168897,larceny,16:00:00,cbd
34382,all-other-crimes,08:00:00,north-capitol-hill
244629,larceny,04:00:00,cbd
471263,all-other-crimes,20:00:00,marston
345183,other-crimes-against-persons,20:00:00,west-colfax
7699,public-disorder,23:59:00,westwood
61877,all-other-crimes,23:59:00,ruby-hill
151207,all-other-crimes,16:00:00,five-points
322088,burglary,16:00:00,villa-park
525685,public-disorder,23:59:00,harvey-park-south
151795,drug-alcohol,20:00:00,marston
313948,all-other-crimes,23:59:00,five-points
504522,public-disorder,16:00:00,speer
347004,larceny,23:59:00,union-station
367766,other-crimes-against-persons,23:59:00,elyria-swansea
358881,all-other-crimes,12:00:00,westwood
