,day_of_week,NEIGHBORHOOD_ID,TIME
12285,Tuesday,elyria-swansea,12:00:00
27418,Saturday,washington-park-west,23:59:00
42484,Sunday,skyland,16:00:00
42516,Friday,valverde,23:59:00
1041,Monday,fort-logan,08:00:00
41592,Monday,gateway-green-valley-ranch,20:00:00
51234,Thursday,hampden-south,04:00:00
1987,Saturday,east-colfax,04:00:00
29526,Saturday,university-hills,23:59:00
39668,Wednesday,chaffee-park,20:00:00
24420,Tuesday,overland,16:00:00
32515,Tuesday,cheesman-park,20:00:00
51862,Tuesday,five-points,20:00:00
26589,Sunday,athmar-park,23:59:00
24616,Wednesday,gateway-green-valley-ranch,20:00:00
19153,Monday,baker,16:00:00
26885,Sunday,hampden-south,16:00:00
4667,Wednesday,cbd,12:00:00
25052,Sunday,north-park-hill,20:00:00
24407,Sunday,highland,23:59:00
51020,Tuesday,sun-valley,20:00:00
33438,Thursday,speer,20:00:00
39389,Friday,capitol-hill,16:00:00
26950,Friday,montbello,16:00:00
29937,Monday,valverde,23:59:00
53977,Thursday,east-colfax,23:59:00
44704,Sunday,city-park-west,20:00:00
33855,Thursday,mar-lee,23:59:00
20612,Tuesday,university,04:00:00
39437,Thursday,montbello,04:00:00
40682,Wednesday,overland,04:00:00
43956,Wednesday,east-colfax,16:00:00
52049,Wednesday,gateway-green-valley-ranch,23:59:00
47544,Wednesday,whittier,04:00:00
11242,Wednesday,capitol-hill,16:00:00
3909,Saturday,five-points,16:00:00
41145,Monday,mar-lee,04:00:00
44768,Sunday,mar-lee,20:00:00
19337,Wednesday,mar-lee,04:00:00
9025,Thursday,stapleton,12:00:00
20446,Tuesday,lincoln-park,12:00:00
13353,Wednesday,union-station,12:00:00
32468,Saturday,jefferson-park,04:00:00
52848,Thursday,lincoln-park,16:00:00
38293,Friday,lincoln-park,23:59:00
39270,Sunday,sun-valley,16:00:00
27886,Monday,elyria-swansea,16:00:00
13772,Wednesday,capitol-hill,04:00:00
35531,Thursday,windsor,16:00:00
27936,Sunday,barnum,20:00:00
29179,Friday,five-points,23:59:00
41507,Wednesday,hampden-south,04:00:00
48492,Sunday,cole,23:59:00
31426,Saturday,mar-lee,20:00:00
21484,Friday,globeville,16:00:00
12657,Sunday,overland,12:00:00
10615,Wednesday,five-points,12:00:00
52636,Sunday,westwood,23:59:00
15164,Sunday,sunnyside,12:00:00
44671,Friday,stapleton,23:59:00
48793,Sunday,mar-lee,23:59:00
27430,Friday,highland,23:59:00
19459,Sunday,cheesman-park,12:00:00
49367,Wednesday,lincoln-park,04:00:00
46044,Friday,marston,23:59:00
39371,Monday,cbd,20:00:00
25301,Sunday,barnum-west,20:00:00
43159,Tuesday,civic-center,20:00:00
42613,Thursday,montbello,16:00:00
32682,Tuesday,gateway-green-valley-ranch,16:00:00
11123,Monday,hampden-south,04:00:00
50903,Friday,elyria-swansea,23:59:00
27624,Friday,jefferson-park,20:00:00
42845,Thursday,windsor,23:59:00
17531,Tuesday,union-station,08:00:00
43887,Sunday,hampden,23:59:00
6707,Wednesday,university-hills,12:00:00
18646,Monday,capitol-hill,16:00:00
34407,Saturday,belcaro,20:00:00
2445,Sunday,cole,04:00:00
12825,Monday,west-colfax,04:00:00
47670,Wednesday,sunnyside,23:59:00
53533,Monday,lincoln-park,20:00:00
25617,Sunday,jefferson-park,20:00:00
39971,Saturday,five-points,04:00:00
10831,Saturday,civic-center,04:00:00
29522,Sunday,valverde,23:59:00
16841,Saturday,north-capitol-hill,16:00:00
3917,Thursday,globeville,12:00:00
22209,Tuesday,hampden-south,20:00:00
27504,Friday,east-colfax,23:59:00
44281,Tuesday,west-colfax,23:59:00
9332,Tuesday,baker,04:00:00
34107,Monday,washington-park-west,23:59:00
47400,Saturday,north-capitol-hill,23:59:00
45327,Sunday,sunnyside,20:00:00
48571,Tuesday,civic-center,20:00:00
25130,Friday,lowry-field,20:00:00
31858,Wednesday,montbello,23:59:00
44351,Thursday,west-colfax,23:59:00
40841,Wednesday,stapleton,20:00:00
5494,Friday,speer,08:00:00
38939,Tuesday,stapleton,23:59:00
47326,Thursday,bear-valley,20:00:00
30225,Wednesday,baker,20:00:00
833,Saturday,gateway-green-valley-ranch,12:00:00
44255,Tuesday,civic-center,20:00:00
20676,Monday,college-view-south-platte,04:00:00
3574,Monday,university-park,08:00:00
19383,Wednesday,city-park-west,08:00:00
8072,Friday,gateway-green-valley-ranch,16:00:00
18046,Monday,harvey-park-south,12:00:00
39154,Tuesday,athmar-park,04:00:00
24923,Thursday,gateway-green-valley-ranch,20:00:00
4577,Thursday,baker,12:00:00
45107,Friday,overland,16:00:00
37030,Tuesday,auraria,20:00:00
5448,Friday,northeast-park-hill,12:00:00
34770,Monday,cbd,20:00:00
51012,Saturday,auraria,20:00:00
47044,Thursday,civic-center,23:59:00
50429,Wednesday,capitol-hill,20:00:00
19444,Sunday,athmar-park,12:00:00
25359,Sunday,athmar-park,16:00:00
30597,Thursday,montbello,23:59:00
684,Sunday,northeast-park-hill,04:00:00
46058,Wednesday,civic-center,20:00:00
21035,Wednesday,five-points,08:00:00
51548,Tuesday,sunnyside,20:00:00
46938,Friday,west-colfax,04:00:00
36438,Wednesday,east-colfax,20:00:00
34087,Monday,speer,23:59:00
42931,Tuesday,cheesman-park,20:00:00
8057,Friday,lincoln-park,08:00:00
38728,Thursday,northeast-park-hill,20:00:00
3924,Saturday,university-park,12:00:00
29524,Saturday,athmar-park,20:00:00
40739,Saturday,five-points,20:00:00
22717,Sunday,gateway-green-valley-ranch,20:00:00
26619,Monday,northeast-park-hill,20:00:00
44737,Sunday,westwood,23:59:00
17418,Saturday,gateway-green-valley-ranch,04:00:00
41330,Sunday,westwood,23:59:00
54138,Monday,five-points,23:59:00
6653,Saturday,sunnyside,04:00:00
22022,Tuesday,elyria-swansea,20:00:00
24660,Tuesday,chaffee-park,16:00:00
32785,Thursday,bear-valley,23:59:00
44840,Thursday,indian-creek,20:00:00
11279,Saturday,five-points,12:00:00
35413,Saturday,cbd,23:59:00
28770,Thursday,montbello,16:00:00
10722,Friday,cbd,08:00:00
44498,Saturday,college-view-south-platte,16:00:00
28576,Thursday,athmar-park,23:59:00
4273,Wednesday,clayton,08:00:00
17652,Tuesday,lincoln-park,04:00:00
8274,Saturday,cbd,04:00:00
54426,Saturday,capitol-hill,20:00:00
44703,Tuesday,montclair,20:00:00
19757,Sunday,elyria-swansea,08:00:00
19221,Wednesday,dia,16:00:00
48329,Friday,union-station,04:00:00
47688,Sunday,montbello,23:59:00
2618,Saturday,hale,04:00:00
2625,Friday,montbello,08:00:00
7535,Wednesday,speer,08:00:00
15582,Sunday,washington-park-west,08:00:00
10620,Monday,cherry-creek,04:00:00
51533,Monday,five-points,20:00:00
32638,Wednesday,southmoor-park,23:59:00
9615,Sunday,speer,16:00:00
52235,Wednesday,westwood,23:59:00
46130,Sunday,city-park-west,16:00:00
27859,Monday,bear-valley,20:00:00
34680,Thursday,goldsmith,20:00:00
8862,Friday,bear-valley,12:00:00
24381,Thursday,virginia-village,20:00:00
12076,Sunday,lowry-field,16:00:00
48201,Thursday,clayton,23:59:00
5743,Thursday,virginia-village,04:00:00
50952,Wednesday,montbello,20:00:00
9734,Saturday,lincoln-park,12:00:00
26810,Wednesday,gateway-green-valley-ranch,23:59:00
38039,Sunday,northeast-park-hill,20:00:00
4398,Tuesday,westwood,12:00:00
1306,Tuesday,hampden,08:00:00
48372,Monday,south-park-hill,20:00:00
38297,Friday,cbd,23:59:00
3432,Sunday,chaffee-park,12:00:00
23483,Friday,harvey-park-south,23:59:00
32498,Tuesday,five-points,23:59:00
51682,Saturday,stapleton,16:00:00
8064,Sunday,northeast-park-hill,04:00:00
10003,Saturday,washington-virginia-vale,12:00:00
45556,Monday,bear-valley,23:59:00
40822,Friday,hampden,23:59:00
29980,Wednesday,globeville,20:00:00
3685,Sunday,harvey-park-south,04:00:00
4376,Tuesday,ruby-hill,12:00:00
22781,Monday,cbd,04:00:00
51623,Sunday,sloan-lake,20:00:00
48228,Monday,elyria-swansea,16:00:00
8660,Sunday,capitol-hill,16:00:00
39283,Tuesday,montbello,16:00:00
13663,Tuesday,cherry-creek,08:00:00
41283,Friday,windsor,20:00:00
11625,Saturday,mar-lee,04:00:00
31595,Saturday,cheesman-park,20:00:00
4976,Friday,elyria-swansea,08:00:00
19828,Sunday,wellshire,04:00:00
8159,Saturday,north-capitol-hill,12:00:00
43917,Wednesday,cbd,23:59:00
36927,Friday,stapleton,23:59:00
42260,Sunday,capitol-hill,23:59:00
16498,Monday,mar-lee,04:00:00
44999,Thursday,hampden,23:59:00
39021,Monday,clayton,04:00:00
1773,Thursday,baker,08:00:00
3453,Thursday,five-points,12:00:00
13186,Saturday,west-colfax,12:00:00
21447,Tuesday,sunnyside,23:59:00
8242,Wednesday,stapleton,16:00:00
50909,Wednesday,west-colfax,16:00:00
34795,Saturday,five-points,20:00:00
49038,Saturday,sunnyside,20:00:00
18180,Tuesday,dia,12:00:00
20837,Sunday,montclair,04:00:00
29922,Wednesday,highland,16:00:00
12060,Friday,cbd,12:00:00
44083,Saturday,east-colfax,20:00:00
16204,Thursday,union-station,12:00:00
29422,Sunday,civic-center,04:00:00
9285,Tuesday,north-park-hill,12:00:00
9905,Sunday,hale,12:00:00
46063,Saturday,barnum-west,20:00:00
53371,Tuesday,montbello,23:59:00
1329,Sunday,westwood,04:00:00
8608,Wednesday,elyria-swansea,12:00:00
28511,Saturday,north-park-hill,16:00:00
9983,Monday,highland,16:00:00
32578,Friday,montbello,20:00:00
3664,Monday,five-points,12:00:00
5404,Tuesday,ruby-hill,16:00:00
37251,Friday,hampden,23:59:00
13820,Tuesday,montbello,12:00:00
1878,Wednesday,sloan-lake,12:00:00
45094,Tuesday,hampden-south,20:00:00
40056,Tuesday,gateway-green-valley-ranch,20:00:00
2536,Saturday,montbello,04:00:00
21687,Monday,goldsmith,23:59:00
53821,Friday,union-station,16:00:00
32233,Friday,washington-park-west,16:00:00
25532,Friday,gateway-green-valley-ranch,23:59:00
28783,Thursday,cbd,20:00:00
34374,Wednesday,sunnyside,20:00:00
27385,Monday,stapleton,20:00:00
26767,Monday,five-points,23:59:00
14466,Wednesday,highland,12:00:00
1819,Monday,villa-park,04:00:00
40776,Friday,union-station,23:59:00
10388,Thursday,city-park-west,08:00:00
39946,Wednesday,cheesman-park,04:00:00
12094,Sunday,union-station,04:00:00
35612,Friday,cole,04:00:00
51749,Wednesday,montbello,23:59:00
23576,Monday,cbd,20:00:00
48764,Wednesday,berkeley,16:00:00
50553,Sunday,east-colfax,16:00:00
4188,Tuesday,south-park-hill,16:00:00
30214,Thursday,windsor,20:00:00
45303,Thursday,montbello,20:00:00
13505,Saturday,congress-park,12:00:00
26758,Sunday,gateway-green-valley-ranch,20:00:00
3193,Monday,washington-virginia-vale,12:00:00
17737,Monday,ruby-hill,04:00:00
8301,Tuesday,washington-park-west,12:00:00
27978,Tuesday,west-colfax,16:00:00
22493,Thursday,berkeley,04:00:00
11617,Sunday,mar-lee,04:00:00
33195,Thursday,goldsmith,23:59:00
40537,Saturday,university-park,23:59:00
4242,Monday,washington-park,12:00:00
