,day_of_week,NEIGHBORHOOD_ID,TIME
55954,Thursday,barnum-west,20:00:00
145874,Sunday,five-points,20:00:00
69486,Thursday,university-park,16:00:00
31963,Friday,capitol-hill,12:00:00
50221,Thursday,sloan-lake,04:00:00
71086,Monday,stapleton,20:00:00
28956,Sunday,college-view-south-platte,16:00:00
76146,Sunday,west-highland,23:59:00
73122,Wednesday,college-view-south-platte,20:00:00
6832,Saturday,stapleton,16:00:00
56487,Tuesday,westwood,20:00:00
132884,Monday,union-station,23:59:00
5464,Friday,union-station,12:00:00
132958,Thursday,city-park-west,20:00:00
78080,Tuesday,bear-valley,23:59:00
69718,Sunday,university,16:00:00
26018,Friday,sunnyside,08:00:00
103802,Thursday,union-station,20:00:00
105111,Friday,union-station,23:59:00
7675,Tuesday,bear-valley,12:00:00
43996,Monday,speer,08:00:00
19284,Tuesday,windsor,12:00:00
15357,Tuesday,washington-park-west,08:00:00
44633,Friday,speer,04:00:00
70348,Saturday,bear-valley,16:00:00
64152,Friday,speer,04:00:00
84812,Sunday,harvey-park-south,20:00:00
111913,Friday,university,16:00:00
7848,Wednesday,east-colfax,08:00:00
131672,Sunday,gateway-green-valley-ranch,20:00:00
108214,Saturday,capitol-hill,20:00:00
30741,Tuesday,sunnyside,04:00:00
58992,Monday,west-colfax,16:00:00
111719,Saturday,cheesman-park,23:59:00
32,Tuesday,lincoln-park,08:00:00
114795,Friday,stapleton,20:00:00
1856,Thursday,lincoln-park,12:00:00
48036,Wednesday,gateway-green-valley-ranch,12:00:00
68714,Sunday,ruby-hill,16:00:00
127535,Monday,goldsmith,04:00:00
136965,Friday,five-points,20:00:00
46467,Tuesday,civic-center,08:00:00
108967,Sunday,hampden-south,20:00:00
111855,Monday,north-capitol-hill,23:59:00
116753,Friday,baker,20:00:00
29420,Sunday,highland,16:00:00
102078,Thursday,sloan-lake,20:00:00
117070,Sunday,hampden,16:00:00
29220,Sunday,highland,12:00:00
35228,Sunday,elyria-swansea,04:00:00
52586,Tuesday,university-hills,12:00:00
99212,Tuesday,city-park-west,20:00:00
41611,Sunday,harvey-park-south,12:00:00
92735,Thursday,cheesman-park,20:00:00
53452,Friday,university-hills,08:00:00
120466,Friday,auraria,20:00:00
74052,Monday,lincoln-park,20:00:00
6240,Thursday,bear-valley,12:00:00
13614,Monday,marston,12:00:00
102886,Wednesday,berkeley,20:00:00
118585,Tuesday,north-park-hill,20:00:00
42286,Saturday,five-points,04:00:00
78060,Saturday,lincoln-park,04:00:00
35480,Tuesday,cbd,12:00:00
1037,Friday,hilltop,08:00:00
94818,Wednesday,five-points,23:59:00
101750,Friday,cory-merrill,20:00:00
94927,Tuesday,cherry-creek,20:00:00
97725,Friday,berkeley,23:59:00
123269,Saturday,montbello,16:00:00
127607,Saturday,stapleton,20:00:00
99003,Thursday,washington-virginia-vale,23:59:00
64998,Monday,gateway-green-valley-ranch,20:00:00
32956,Sunday,west-highland,04:00:00
41430,Wednesday,wellshire,04:00:00
70083,Monday,barnum-west,20:00:00
29804,Saturday,elyria-swansea,12:00:00
102027,Thursday,north-park-hill,04:00:00
24817,Sunday,hampden-south,12:00:00
82711,Tuesday,platt-park,23:59:00
4181,Sunday,five-points,12:00:00
7022,Friday,auraria,08:00:00
86038,Friday,east-colfax,23:59:00
6534,Wednesday,hampden,16:00:00
69818,Sunday,capitol-hill,20:00:00
139643,Sunday,cheesman-park,20:00:00
7478,Thursday,college-view-south-platte,12:00:00
70592,Sunday,college-view-south-platte,16:00:00
22145,Sunday,hampden,16:00:00
131908,Wednesday,sloan-lake,16:00:00
24388,Wednesday,cbd,16:00:00
32984,Sunday,east-colfax,04:00:00
50057,Tuesday,north-capitol-hill,04:00:00
39781,Friday,west-colfax,04:00:00
95589,Saturday,platt-park,04:00:00
61303,Saturday,sun-valley,20:00:00
40041,Saturday,washington-virginia-vale,04:00:00
91698,Wednesday,stapleton,23:59:00
31552,Wednesday,northeast-park-hill,12:00:00
84923,Sunday,hale,23:59:00
147824,Tuesday,capitol-hill,20:00:00
90214,Thursday,cheesman-park,20:00:00
142254,Saturday,ruby-hill,23:59:00
2628,Saturday,harvey-park-south,12:00:00
21408,Thursday,berkeley,08:00:00
116459,Saturday,stapleton,16:00:00
67283,Sunday,stapleton,16:00:00
9360,Saturday,lincoln-park,04:00:00
28542,Wednesday,westwood,04:00:00
104505,Tuesday,stapleton,20:00:00
