,day_of_week,NEIGHBORHOOD_ID,TIME
76,Saturday,university-park,12:00:00
4120,Wednesday,harvey-park-south,20:00:00
7095,Thursday,city-park-west,23:59:00
3633,Sunday,westwood,20:00:00
577,Thursday,capitol-hill,04:00:00
696,Sunday,harvey-park,04:00:00
2881,Sunday,ruby-hill,16:00:00
2676,Sunday,chaffee-park,08:00:00
5353,Saturday,chaffee-park,23:59:00
4175,Thursday,southmoor-park,23:59:00
1041,Saturday,east-colfax,04:00:00
2169,Sunday,westwood,08:00:00
847,Saturday,montclair,12:00:00
2729,Saturday,union-station,04:00:00
492,Friday,montbello,12:00:00
5628,Thursday,montbello,23:59:00
399,Thursday,east-colfax,04:00:00
2170,Tuesday,cbd,12:00:00
257,Friday,montbello,16:00:00
529,Wednesday,capitol-hill,12:00:00
4051,Thursday,berkeley,20:00:00
6597,Saturday,athmar-park,20:00:00
6928,Monday,villa-park,20:00:00
4902,Saturday,athmar-park,23:59:00
6618,Thursday,cory-merrill,23:59:00
6495,Thursday,marston,20:00:00
809,Monday,valverde,12:00:00
534,Thursday,hale,04:00:00
294,Tuesday,east-colfax,12:00:00
299,Tuesday,barnum,04:00:00
7089,Sunday,south-park-hill,20:00:00
1436,Saturday,congress-park,04:00:00
1851,Saturday,villa-park,04:00:00
4892,Monday,civic-center,16:00:00
494,Saturday,cheesman-park,04:00:00
1282,Saturday,west-colfax,16:00:00
5278,Saturday,montbello,23:59:00
820,Sunday,cbd,12:00:00
6365,Sunday,lincoln-park,20:00:00
5059,Friday,city-park,16:00:00
1708,Saturday,chaffee-park,04:00:00
6416,Tuesday,north-park-hill,23:59:00
5799,Thursday,union-station,04:00:00
3896,Tuesday,union-station,20:00:00
1729,Thursday,capitol-hill,12:00:00
6515,Tuesday,westwood,23:59:00
2748,Sunday,westwood,04:00:00
1836,Wednesday,college-view-south-platte,08:00:00
5931,Sunday,barnum-west,23:59:00
71,Wednesday,east-colfax,04:00:00
1721,Monday,union-station,04:00:00
5543,Tuesday,windsor,23:59:00
10,Saturday,elyria-swansea,12:00:00
2608,Thursday,south-park-hill,08:00:00
5302,Wednesday,college-view-south-platte,23:59:00
1178,Monday,five-points,12:00:00
5718,Tuesday,mar-lee,23:59:00
1809,Monday,valverde,16:00:00
6219,Wednesday,south-park-hill,20:00:00
5629,Wednesday,union-station,23:59:00
4562,Thursday,hampden-south,20:00:00
4032,Wednesday,north-capitol-hill,20:00:00
5175,Thursday,overland,23:59:00
4906,Thursday,harvey-park-south,16:00:00
3120,Monday,montbello,16:00:00
5437,Sunday,montbello,20:00:00
789,Sunday,harvey-park-south,12:00:00
6851,Tuesday,ruby-hill,20:00:00
2557,Thursday,five-points,04:00:00
2198,Wednesday,cbd,04:00:00
1711,Monday,westwood,04:00:00
1140,Sunday,east-colfax,12:00:00
1030,Thursday,harvey-park,08:00:00
3269,Wednesday,five-points,23:59:00
2165,Wednesday,cole,04:00:00
654,Saturday,speer,04:00:00
4420,Saturday,hale,16:00:00
5857,Tuesday,north-capitol-hill,16:00:00
313,Monday,union-station,04:00:00
2161,Monday,northeast-park-hill,04:00:00
4161,Wednesday,gateway-green-valley-ranch,23:59:00
6972,Tuesday,westwood,20:00:00
1653,Saturday,hampden-south,04:00:00
4823,Wednesday,westwood,20:00:00
1960,Saturday,capitol-hill,04:00:00
6425,Friday,cbd,04:00:00
3916,Sunday,capitol-hill,20:00:00
289,Sunday,civic-center,16:00:00
7153,Thursday,athmar-park,23:59:00
715,Monday,villa-park,16:00:00
2566,Saturday,hampden,12:00:00
5069,Thursday,west-colfax,23:59:00
4953,Saturday,westwood,16:00:00
2469,Wednesday,montclair,12:00:00
3045,Sunday,cbd,04:00:00
4383,Friday,harvey-park-south,20:00:00
2542,Friday,five-points,04:00:00
6163,Tuesday,cbd,20:00:00
1457,Friday,east-colfax,04:00:00
1701,Saturday,hale,08:00:00
7061,Thursday,stapleton,16:00:00
3566,Thursday,mar-lee,16:00:00
2407,Monday,west-colfax,08:00:00
2830,Saturday,montbello,20:00:00
1169,Saturday,dia,04:00:00
278,Friday,harvey-park-south,12:00:00
4382,Thursday,mar-lee,20:00:00
2779,Saturday,westwood,23:59:00
188,Sunday,villa-park,12:00:00
1861,Tuesday,montbello,04:00:00
1328,Wednesday,northeast-park-hill,12:00:00
1567,Monday,harvey-park,04:00:00
2538,Saturday,east-colfax,04:00:00
233,Friday,montbello,12:00:00
5538,Thursday,five-points,23:59:00
2562,Monday,montclair,04:00:00
3960,Thursday,capitol-hill,16:00:00
1003,Wednesday,westwood,08:00:00
2226,Saturday,union-station,04:00:00
445,Sunday,ruby-hill,08:00:00
5388,Tuesday,college-view-south-platte,20:00:00
795,Wednesday,lincoln-park,04:00:00
2524,Thursday,montbello,04:00:00
4597,Thursday,cheesman-park,16:00:00
6771,Friday,hampden-south,16:00:00
6957,Sunday,kennedy,20:00:00
1129,Tuesday,baker,12:00:00
1450,Monday,hampden-south,16:00:00
1499,Wednesday,windsor,16:00:00
6839,Monday,kennedy,20:00:00
122,Thursday,college-view-south-platte,12:00:00
4595,Tuesday,north-capitol-hill,23:59:00
6775,Thursday,montbello,23:59:00
2427,Saturday,stapleton,16:00:00
4974,Friday,cheesman-park,16:00:00
4502,Tuesday,sun-valley,23:59:00
3654,Thursday,stapleton,20:00:00
676,Saturday,union-station,04:00:00
3425,Monday,jefferson-park,16:00:00
2534,Tuesday,chaffee-park,16:00:00
4611,Wednesday,villa-park,20:00:00
3572,Wednesday,cbd,23:59:00
452,Sunday,north-capitol-hill,04:00:00
1444,Tuesday,cbd,12:00:00
390,Tuesday,lincoln-park,12:00:00
1084,Monday,cbd,04:00:00
4287,Wednesday,baker,04:00:00
4518,Saturday,auraria,20:00:00
5865,Monday,lincoln-park,20:00:00
5218,Thursday,five-points,23:59:00
5473,Friday,university-park,20:00:00
1214,Saturday,stapleton,04:00:00
5651,Thursday,speer,23:59:00
5590,Thursday,north-park-hill,04:00:00
5057,Wednesday,west-highland,23:59:00
4128,Friday,cbd,16:00:00
1208,Monday,capitol-hill,04:00:00
5745,Monday,cbd,20:00:00
2724,Wednesday,goldsmith,04:00:00
6722,Sunday,sun-valley,23:59:00
6885,Friday,montbello,20:00:00
6173,Friday,north-capitol-hill,23:59:00
7,Saturday,stapleton,12:00:00
775,Wednesday,cole,12:00:00
978,Wednesday,highland,12:00:00
4942,Sunday,kennedy,23:59:00
2978,Friday,montbello,23:59:00
3469,Sunday,windsor,23:59:00
3247,Monday,gateway-green-valley-ranch,20:00:00
2189,Monday,hampden,08:00:00
3176,Wednesday,stapleton,20:00:00
2204,Friday,lincoln-park,12:00:00
1886,Saturday,congress-park,04:00:00
5656,Wednesday,platt-park,20:00:00
