,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LON,GEO_LAT
0,Tuesday,belcaro,12:00:00,-104.958432,39.6980939
1,Monday,valverde,04:00:00,-105.0200062,39.7172709
2,Friday,cbd,16:00:00,-104.9932939,39.7425801
3,Friday,five-points,04:00:00,-104.9886405,39.7545595
4,Tuesday,sun-valley,08:00:00,-105.0246294,39.7332425
5,Thursday,harvey-park,04:00:00,-105.0250596,39.6786348
6,Sunday,hampden-south,12:00:00,-104.9044844,39.6507833
7,Saturday,stapleton,12:00:00,-104.8918797,39.7841324
8,Thursday,berkeley,04:00:00,-105.0354361,39.7808497
9,Wednesday,five-points,04:00:00,-104.9810392,39.7512868
10,Saturday,elyria-swansea,12:00:00,-104.9405199,39.7837724
11,Thursday,bear-valley,04:00:00,-105.0532135,39.6533454
12,Friday,sunnyside,04:00:00,-105.0248917,39.7695851
13,Sunday,sun-valley,12:00:00,-105.024258,39.7444883
14,Tuesday,speer,12:00:00,-104.9743978,39.7253667
15,Wednesday,west-colfax,04:00:00,-105.0255803,39.7377513
16,Saturday,college-view-south-platte,12:00:00,-105.023053,39.6659844
17,Wednesday,capitol-hill,16:00:00,-104.9756408,39.7393347
18,Saturday,montbello,04:00:00,-104.8371298,39.7776656
19,Wednesday,north-capitol-hill,04:00:00,-104.9798149,39.7408439
20,Monday,harvey-park,04:00:00,-105.0267428,39.6682203
21,Thursday,five-points,08:00:00,-104.9883656,39.7546983
22,Thursday,college-view-south-platte,04:00:00,-105.0067861,39.6788066
23,Friday,washington-virginia-vale,12:00:00,-104.9054092,39.6980189
24,Thursday,stapleton,04:00:00,-104.8475122,39.7707452
25,Sunday,cbd,12:00:00,-104.9937099,39.7504608
26,Sunday,east-colfax,04:00:00,-104.8990929,39.7404759
27,Saturday,stapleton,04:00:00,-104.8968047,39.770857
28,Wednesday,baker,08:00:00,-104.9879871,39.7212922
29,Thursday,washington-virginia-vale,12:00:00,-104.9061449,39.7009491
30,Monday,westwood,04:00:00,-105.0286447,39.7002932
31,Saturday,cory-merrill,08:00:00,-104.9593215,39.6965825
32,Thursday,whittier,04:00:00,-104.9712365,39.7603602
33,Thursday,east-colfax,04:00:00,-104.8873294,39.7392814
34,Wednesday,capitol-hill,08:00:00,-104.9807994,39.7399561
35,Sunday,east-colfax,16:00:00,-104.8925462,39.7429487
36,Monday,northeast-park-hill,12:00:00,-104.9333904,39.7805456
37,Sunday,union-station,04:00:00,-104.9996694,39.7486415
38,Monday,washington-virginia-vale,04:00:00,-104.9073227,39.6948852
39,Saturday,union-station,12:00:00,-104.9967509,39.7524175
40,Tuesday,lincoln-park,04:00:00,-105.0025394,39.7386142
41,Sunday,lincoln-park,16:00:00,-104.9962563,39.7356199
42,Saturday,berkeley,04:00:00,-105.0451473,39.7729539
43,Saturday,city-park,04:00:00,-104.9544484,39.7414978
44,Monday,barnum-west,08:00:00,-105.0529896,39.7186445
45,Monday,university,04:00:00,-104.9684371,39.6782524
46,Saturday,east-colfax,04:00:00,-104.8990929,39.7404759
47,Saturday,goldsmith,16:00:00,-104.9193928,39.6770705
48,Sunday,college-view-south-platte,08:00:00,-105.0248808,39.66516
49,Sunday,villa-park,08:00:00,-105.0489897,39.7270352
50,Saturday,speer,04:00:00,-104.9737101,39.7113544
51,Wednesday,stapleton,12:00:00,-104.9021799,39.7817364
52,Tuesday,harvey-park-south,08:00:00,-105.0408769,39.6569052
53,Wednesday,speer,12:00:00,-104.9871329,39.7214313
54,Thursday,harvey-park,08:00:00,-105.0575107,39.6821107
55,Thursday,east-colfax,08:00:00,-104.8875769,39.7398482
56,Tuesday,clayton,16:00:00,-104.9520331,39.7684422
57,Wednesday,montbello,12:00:00,-104.8371298,39.7776656
58,Wednesday,congress-park,08:00:00,-104.9517137,39.735138
59,Saturday,hampden,16:00:00,-104.8718383,39.6719421
60,Thursday,washington-virginia-vale,08:00:00,-104.9262422,39.7071106
61,Sunday,capitol-hill,12:00:00,-104.9730966,39.7400317
62,Wednesday,virginia-village,12:00:00,-104.9372361,39.6853439
63,Monday,cbd,04:00:00,-104.9913724,39.7510794
64,Sunday,east-colfax,04:00:00,-104.8850263,39.7330623
65,Monday,baker,04:00:00,-104.9875652,39.7006979
66,Sunday,stapleton,04:00:00,-104.8864518,39.7477378
67,Sunday,cbd,12:00:00,-104.9913724,39.7510794
68,Friday,montclair,04:00:00,-104.9123586,39.7262592
69,Monday,kennedy,16:00:00,-104.8619644,39.6584037
70,Tuesday,sun-valley,12:00:00,-105.0208247,39.7317144
71,Wednesday,east-colfax,04:00:00,-104.8867168,39.733288
72,Sunday,five-points,12:00:00,-104.9765908,39.746883000000004
73,Tuesday,sloan-lake,08:00:00,-105.03775800000001,39.7567859
74,Wednesday,cbd,04:00:00,-104.9918589,39.7423543
75,Tuesday,five-points,12:00:00,-104.9876835,39.7550769
76,Saturday,university-park,12:00:00,-104.9589718,39.679247
77,Monday,mar-lee,12:00:00,-105.0250452,39.6849709
78,Saturday,union-station,04:00:00,-105.0002143,39.7480289
79,Saturday,union-station,16:00:00,-104.9978359,39.7543685
80,Saturday,skyland,16:00:00,-104.95088100000001,39.7606541
81,Tuesday,five-points,12:00:00,-104.9879392,39.7556271
82,Sunday,five-points,12:00:00,-104.9889145,39.7540583
83,Tuesday,overland,16:00:00,-104.9930275,39.6899023
84,Wednesday,mar-lee,04:00:00,-105.0527702,39.6928269
85,Monday,five-points,04:00:00,-104.9893261,39.7566297
86,Sunday,cbd,12:00:00,-104.9929788,39.7448409
87,Sunday,gateway-green-valley-ranch,04:00:00,-104.7996662,39.7839523
88,Wednesday,globeville,04:00:00,-104.9905297,39.7774822
89,Friday,capitol-hill,12:00:00,-104.9815358,39.7399099
90,Monday,highland,12:00:00,-105.0117267,39.7602249
91,Sunday,cole,04:00:00,-104.9647061,39.7728984
92,Sunday,highland,12:00:00,-105.0161829,39.7567157
93,Thursday,barnum-west,04:00:00,-105.0529896,39.7186445
94,Wednesday,whittier,04:00:00,-104.9724594,39.7609202
95,Tuesday,overland,12:00:00,-104.9921155,39.6951227
96,Friday,east-colfax,04:00:00,-104.8964199,39.7386997
97,Wednesday,five-points,16:00:00,-104.9779294,39.7533814
98,Sunday,northeast-park-hill,04:00:00,-104.921971,39.7634915
99,Friday,mar-lee,04:00:00,-105.0525591,39.6824653
100,Thursday,harvey-park-south,08:00:00,-105.0285983,39.6675195
101,Saturday,speer,12:00:00,-104.9869749,39.726017999999996
102,Saturday,cbd,04:00:00,-104.9972627,39.747017
103,Saturday,stapleton,08:00:00,-104.89794599999999,39.7696879
104,Sunday,lincoln-park,08:00:00,-104.9979493,39.7375378
105,Saturday,east-colfax,04:00:00,-104.8928675,39.7387007
106,Saturday,union-station,04:00:00,-104.99949299999999,39.7489372
107,Tuesday,cbd,12:00:00,-104.9936671,39.7465376
108,Monday,gateway-green-valley-ranch,12:00:00,-104.7727117,39.781966
109,Sunday,capitol-hill,04:00:00,-104.9807994,39.7399561
110,Sunday,washington-virginia-vale,04:00:00,-104.9105773,39.7021547
111,Friday,capitol-hill,04:00:00,-104.9822153,39.7360201
112,Friday,civic-center,08:00:00,-104.987485,39.7398975
113,Friday,capitol-hill,04:00:00,-104.9823183,39.7384364
114,Friday,villa-park,16:00:00,-105.0437977,39.7321543
115,Saturday,cole,04:00:00,-104.9693127,39.7663966
116,Friday,university,04:00:00,-104.9594483,39.6847261
117,Sunday,college-view-south-platte,16:00:00,-105.0247555,39.6747462
118,Saturday,cbd,08:00:00,-104.9970713,39.7464287
119,Thursday,capitol-hill,12:00:00,-104.9751035,39.7398594
120,Saturday,lincoln-park,16:00:00,-105.002843,39.7288945
121,Sunday,cheesman-park,04:00:00,-104.9656457,39.7387819
122,Thursday,college-view-south-platte,12:00:00,-105.0248251,39.6571214
123,Sunday,north-park-hill,12:00:00,-104.9305535,39.7583613
124,Thursday,montclair,08:00:00,-104.9192605,39.7385758
125,Thursday,capitol-hill,16:00:00,-104.9749417,39.7305907
126,Friday,north-capitol-hill,16:00:00,-104.9803997,39.7401437
127,Tuesday,capitol-hill,08:00:00,-104.9750087,39.7335119
128,Sunday,five-points,04:00:00,-104.9792596,39.7538595
129,Sunday,five-points,04:00:00,-104.9918802,39.7536456
130,Wednesday,cheesman-park,04:00:00,-104.9684633,39.7400108
131,Tuesday,capitol-hill,12:00:00,-104.9873239,39.7385928
132,Saturday,washington-virginia-vale,04:00:00,-104.9099529,39.7011797
133,Monday,capitol-hill,04:00:00,-104.9811047,39.7400261
134,Wednesday,gateway-green-valley-ranch,16:00:00,-104.7664008,39.7828657
135,Wednesday,gateway-green-valley-ranch,16:00:00,-104.7619683,39.7695921
136,Wednesday,east-colfax,04:00:00,-104.8869035,39.7404048
137,Monday,chaffee-park,04:00:00,-105.0158461,39.7910708
138,Thursday,harvey-park-south,12:00:00,-105.0525397,39.6559673
139,Wednesday,cbd,04:00:00,-104.9937099,39.7504608
140,Wednesday,east-colfax,12:00:00,-104.8962144,39.7344819
141,Thursday,villa-park,04:00:00,-105.0535714,39.7333476
142,Monday,north-capitol-hill,08:00:00,-104.9808218,39.7402938
143,Wednesday,virginia-village,04:00:00,-104.9402369,39.6859869
144,Friday,hampden-south,08:00:00,-104.9040668,39.6527057
145,Thursday,cbd,12:00:00,-104.9930555,39.7460381
146,Monday,union-station,04:00:00,-104.99555500000001,39.7505676
147,Sunday,union-station,04:00:00,-104.9939824,39.7531194
148,Thursday,elyria-swansea,04:00:00,-104.9421594,39.775388
149,Thursday,villa-park,12:00:00,-105.0485241,39.7286724
150,Friday,goldsmith,08:00:00,-104.9143812,39.6760464
151,Tuesday,baker,04:00:00,-104.9874561,39.6986055
152,Saturday,marston,12:00:00,-105.0886113,39.6382874
153,Wednesday,northeast-park-hill,04:00:00,-104.90540800000001,39.7635875
154,Wednesday,north-capitol-hill,04:00:00,-104.9798149,39.7408439
155,Monday,cherry-creek,12:00:00,-104.9465481,39.7170059
156,Saturday,five-points,04:00:00,-104.9821422,39.7512148
157,Saturday,auraria,04:00:00,-105.0015351,39.7478313
158,Friday,stapleton,04:00:00,-104.8856137,39.7954954
159,Friday,five-points,04:00:00,-104.9774482,39.7673581
160,Friday,north-capitol-hill,16:00:00,-104.9844328,39.7458744
161,Friday,cbd,16:00:00,-104.9897807,39.7440144
162,Monday,union-station,08:00:00,-105.0009567,39.7516557
163,Monday,city-park-west,12:00:00,-104.96934399999999,39.7434601
164,Friday,harvey-park,04:00:00,-105.0584207,39.6780867
165,Monday,athmar-park,04:00:00,-105.0124603,39.7058743
166,Saturday,south-park-hill,08:00:00,-104.9226198,39.7404345
167,Friday,westwood,08:00:00,-105.0320837,39.7111317
168,Sunday,five-points,12:00:00,-104.9822668,39.7565055
169,Saturday,north-capitol-hill,04:00:00,-104.9820432,39.7434316
170,Wednesday,west-colfax,04:00:00,-105.0265555,39.7381478
171,Monday,westwood,04:00:00,-105.0422416,39.69873
172,Friday,five-points,12:00:00,-104.99138400000001,39.7538878
173,Monday,hampden-south,04:00:00,-104.8823564,39.6441872
174,Friday,gateway-green-valley-ranch,04:00:00,-104.7383117,39.7711407
175,Saturday,windsor,08:00:00,-104.8713333,39.7080982
176,Friday,baker,12:00:00,-104.9940663,39.7069881
177,Monday,north-capitol-hill,04:00:00,-104.9796032,39.7430173
178,Tuesday,cheesman-park,04:00:00,-104.963476,39.7383959
179,Sunday,montbello,08:00:00,-104.8389125,39.7863287
180,Monday,north-capitol-hill,08:00:00,-104.9867638,39.7432189
181,Saturday,capitol-hill,04:00:00,-104.9848679,39.7384394
182,Sunday,kennedy,08:00:00,-104.8521902,39.6591244
183,Monday,sloan-lake,12:00:00,-105.0533264,39.7539525
184,Wednesday,elyria-swansea,04:00:00,-104.950921,39.7791654
185,Wednesday,cbd,04:00:00,-104.9970713,39.7464287
186,Sunday,globeville,08:00:00,-104.9781748,39.7820483
187,Thursday,virginia-village,04:00:00,-104.9391347,39.6882987
188,Sunday,villa-park,12:00:00,-105.0312845,39.7328656
189,Monday,university-hills,04:00:00,-104.9374267,39.6766338
190,Thursday,cbd,08:00:00,-104.9920223,39.7477714
191,Tuesday,cbd,16:00:00,-104.9933564,39.7462371
192,Friday,capitol-hill,12:00:00,-104.9863246,39.732774
193,Tuesday,montbello,08:00:00,-104.8379809,39.7930356
194,Thursday,cbd,12:00:00,-104.9891763,39.7420435
195,Thursday,washington-virginia-vale,12:00:00,-104.9031277,39.6959182
196,Saturday,montbello,12:00:00,-104.8379331,39.7777497
197,Friday,westwood,04:00:00,-105.0275246,39.7003848
198,Friday,five-points,12:00:00,-104.9883656,39.7546983
199,Sunday,north-capitol-hill,04:00:00,-104.9798149,39.7408439
200,Sunday,westwood,16:00:00,-105.025462,39.6989984
201,Saturday,five-points,04:00:00,-104.9856531,39.7613218
202,Tuesday,globeville,08:00:00,-104.985813,39.7855958
203,Tuesday,five-points,04:00:00,-104.9874464,39.7583181
204,Sunday,lincoln-park,04:00:00,-105.0005418,39.7395007
205,Thursday,belcaro,08:00:00,-104.9407083,39.7115618
206,Friday,chaffee-park,04:00:00,-105.0246219,39.7852483
207,Saturday,cbd,04:00:00,-104.9968601,39.7441437
208,Wednesday,north-park-hill,16:00:00,-104.9297129,39.7589392
209,Saturday,north-park-hill,08:00:00,-104.9336463,39.754607
210,Saturday,goldsmith,12:00:00,-104.9092566,39.6698986
211,Monday,east-colfax,16:00:00,-104.8850263,39.7330623
212,Sunday,east-colfax,08:00:00,-104.8983597,39.7405518
213,Sunday,capitol-hill,04:00:00,-104.979552,39.736497
214,Thursday,union-station,04:00:00,-104.9975465,39.7535657
215,Saturday,lincoln-park,04:00:00,-105.0039915,39.7328992
216,Monday,capitol-hill,16:00:00,-104.9775305,39.7386568
217,Monday,overland,08:00:00,-104.9878258,39.6859293
218,Sunday,montbello,08:00:00,-104.8411013,39.7893113
219,Wednesday,city-park,04:00:00,-104.9504101,39.7404165
220,Sunday,city-park-west,04:00:00,-104.9678359,39.7416304
221,Friday,five-points,16:00:00,-104.9823379,39.7598742
222,Thursday,cbd,12:00:00,-104.9916388,39.7452331
223,Saturday,cbd,16:00:00,-104.9925355,39.7436859
224,Saturday,union-station,04:00:00,-104.9926001,39.7529432
225,Saturday,union-station,04:00:00,-104.9934202,39.7536523
226,Tuesday,east-colfax,04:00:00,-104.8990929,39.7404759
227,Friday,montbello,08:00:00,-104.8127204,39.7767927
228,Saturday,five-points,08:00:00,-104.9905176,39.7532115
229,Saturday,platt-park,08:00:00,-104.9807471,39.6932255
230,Monday,east-colfax,16:00:00,-104.89286200000001,39.7401529
231,Sunday,cole,04:00:00,-104.9731506,39.7683492
232,Sunday,westwood,08:00:00,-105.052237,39.6978707
233,Friday,montbello,12:00:00,-104.8486294,39.7810653
234,Saturday,overland,08:00:00,-104.9918407,39.6903831
235,Saturday,west-colfax,12:00:00,-105.0322765,39.7403339
236,Saturday,gateway-green-valley-ranch,04:00:00,-104.7701569,39.7850496
237,Tuesday,east-colfax,08:00:00,-104.8866399,39.7404556
238,Sunday,cole,04:00:00,-104.9729782,39.7662071
239,Wednesday,capitol-hill,04:00:00,-104.9822153,39.7360201
240,Saturday,hampden,04:00:00,-104.8707133,39.6555572
241,Monday,five-points,04:00:00,-104.9932651,39.7539481
242,Thursday,elyria-swansea,04:00:00,-104.9440792,39.7751061
243,Friday,baker,04:00:00,-104.9879871,39.7212922
244,Thursday,mar-lee,12:00:00,-105.0379366,39.683279
245,Wednesday,college-view-south-platte,08:00:00,-105.0234278,39.6683195
246,Friday,five-points,12:00:00,-104.9789877,39.7487988
247,Thursday,stapleton,12:00:00,-104.8919004,39.7805198
248,Monday,montbello,04:00:00,-104.8380585,39.7769104
249,Thursday,washington-virginia-vale,12:00:00,-104.9059737,39.693459000000004
250,Sunday,sunnyside,16:00:00,-105.00218000000001,39.7697136
251,Wednesday,university,12:00:00,-104.9731126,39.6792069
252,Wednesday,lincoln-park,08:00:00,-105.0028213,39.7384727
253,Tuesday,five-points,04:00:00,-104.9789877,39.7487988
254,Thursday,baker,04:00:00,-104.9879459,39.7142751
255,Tuesday,sloan-lake,04:00:00,-105.0254257,39.7558721
256,Tuesday,harvey-park,12:00:00,-105.0282371,39.6678859
257,Friday,montbello,16:00:00,-104.8452308,39.7830395
258,Friday,montbello,16:00:00,-104.8445968,39.7834862
259,Wednesday,baker,04:00:00,-104.9971426,39.7111934
260,Wednesday,cbd,08:00:00,-104.9937794,39.7492093
261,Friday,capitol-hill,08:00:00,-104.9751675,39.7303473
262,Thursday,college-view-south-platte,04:00:00,-105.0232609,39.6808759
263,Tuesday,civic-center,12:00:00,-104.987485,39.7398975
264,Friday,capitol-hill,16:00:00,-104.9764785,39.7400056
265,Monday,east-colfax,12:00:00,-104.8978964,39.7398438
266,Tuesday,university-hills,08:00:00,-104.9341514,39.6748199
267,Tuesday,five-points,04:00:00,-104.9821106,39.7526038
268,Monday,barnum-west,12:00:00,-105.0429356,39.7209503
269,Monday,city-park-west,04:00:00,-104.9646736,39.7408172
270,Friday,villa-park,16:00:00,-105.0306393,39.7331128
271,Friday,cbd,08:00:00,-104.9898535,39.7472102
272,Sunday,union-station,08:00:00,-104.9992476,39.7489417
273,Tuesday,capitol-hill,16:00:00,-104.9811047,39.7400261
