,day_of_week,NEIGHBORHOOD_ID,TIME
1413,Saturday,virginia-village,16:00:00
6331,Tuesday,mar-lee,20:00:00
5240,Wednesday,west-highland,20:00:00
1622,Tuesday,highland,04:00:00
1100,Tuesday,dia,12:00:00
4269,Tuesday,baker,04:00:00
1942,Tuesday,lowry-field,12:00:00
5461,Wednesday,hilltop,16:00:00
6429,Wednesday,dia,04:00:00
5804,Thursday,lincoln-park,16:00:00
403,Monday,montbello,12:00:00
3455,Thursday,hampden,04:00:00
6218,Monday,athmar-park,20:00:00
3005,Wednesday,speer,08:00:00
627,Tuesday,lincoln-park,04:00:00
2914,Tuesday,lowry-field,08:00:00
6754,Monday,university-park,16:00:00
1812,Thursday,university-park,12:00:00
6825,Thursday,lowry-field,20:00:00
5950,Monday,west-highland,23:59:00
2984,Monday,globeville,08:00:00
1666,Wednesday,union-station,12:00:00
2071,Tuesday,villa-park,12:00:00
826,Thursday,lincoln-park,12:00:00
2351,Monday,montclair,12:00:00
1021,Friday,whittier,12:00:00
3666,Wednesday,country-club,20:00:00
3692,Monday,hampden-south,20:00:00
197,Tuesday,berkeley,12:00:00
1016,Wednesday,hampden,12:00:00
4845,Wednesday,washington-virginia-vale,16:00:00
4937,Sunday,five-points,16:00:00
2959,Tuesday,highland,12:00:00
6088,Tuesday,washington-park-west,20:00:00
6229,Wednesday,university-hills,16:00:00
1262,Tuesday,berkeley,12:00:00
1992,Monday,berkeley,12:00:00
3755,Thursday,five-points,23:59:00
1699,Tuesday,hampden-south,12:00:00
4465,Friday,capitol-hill,04:00:00
4168,Wednesday,cherry-creek,04:00:00
4677,Monday,cbd,20:00:00
2690,Thursday,north-park-hill,16:00:00
680,Wednesday,washington-park-west,12:00:00
3546,Saturday,cbd,16:00:00
2247,Friday,capitol-hill,12:00:00
5733,Wednesday,stapleton,16:00:00
4415,Friday,hampden-south,04:00:00
5336,Tuesday,hampden-south,16:00:00
326,Saturday,bear-valley,12:00:00
5467,Wednesday,city-park-west,16:00:00
6640,Tuesday,washington-park-west,04:00:00
2013,Monday,virginia-village,08:00:00
2822,Friday,northeast-park-hill,12:00:00
5420,Wednesday,clayton,04:00:00
4839,Saturday,sloan-lake,23:59:00
2242,Tuesday,congress-park,12:00:00
5914,Friday,goldsmith,04:00:00
3752,Thursday,sunnyside,04:00:00
739,Thursday,north-capitol-hill,12:00:00
3258,Wednesday,dia,16:00:00
5506,Wednesday,marston,04:00:00
1368,Tuesday,regis,12:00:00
2907,Tuesday,dia,12:00:00
7076,Monday,union-station,20:00:00
864,Saturday,athmar-park,16:00:00
3431,Thursday,city-park-west,16:00:00
797,Monday,dia,12:00:00
176,Thursday,villa-park,12:00:00
1259,Thursday,washington-virginia-vale,12:00:00
6314,Wednesday,lincoln-park,20:00:00
5834,Tuesday,hampden-south,04:00:00
6272,Thursday,north-capitol-hill,16:00:00
4142,Friday,mar-lee,23:59:00
3331,Monday,dia,23:59:00
5829,Saturday,union-station,04:00:00
5752,Thursday,city-park-west,16:00:00
873,Friday,civic-center,16:00:00
2235,Tuesday,cbd,08:00:00
6963,Wednesday,southmoor-park,20:00:00
1229,Thursday,dia,16:00:00
5462,Monday,windsor,16:00:00
4885,Sunday,globeville,16:00:00
6359,Tuesday,goldsmith,16:00:00
5592,Friday,gateway-green-valley-ranch,20:00:00
5876,Monday,berkeley,16:00:00
4994,Monday,goldsmith,16:00:00
6100,Thursday,hilltop,16:00:00
3827,Tuesday,villa-park,04:00:00
1415,Friday,windsor,12:00:00
2310,Thursday,kennedy,16:00:00
1594,Wednesday,jefferson-park,12:00:00
3271,Tuesday,virginia-village,20:00:00
6606,Wednesday,university,04:00:00
1803,Thursday,cheesman-park,12:00:00
1462,Tuesday,northeast-park-hill,16:00:00
3961,Monday,congress-park,16:00:00
423,Thursday,sun-valley,08:00:00
3327,Saturday,cherry-creek,20:00:00
1127,Wednesday,capitol-hill,08:00:00
4542,Friday,montbello,16:00:00
4462,Sunday,dia,20:00:00
295,Wednesday,cherry-creek,12:00:00
2020,Monday,whittier,12:00:00
268,Friday,montbello,12:00:00
